OBJECTID,index,cx,cy,dx,dy,newX,newY
67,a61.2x-86.4,61.2,-86.4,-0.9739235,1.5762878,62.1739235,-87.9762878
68,a64.8x-86.4,64.8,-86.4,-1.1167023,1.5104538,65.9167023,-87.9104538
69,a68.4x-86.4,68.4,-86.4,-1.2508484,1.4417587,69.6508484,-87.8417587
70,a72x-86.4,72,-86.4,-1.3760071,1.3705917,73.3760071,-87.7705917
71,a75.6x-86.4,75.6,-86.4,-1.4908127,1.297197,77.0908127,-87.697197
72,a79.2x-86.4,79.2,-86.4,-1.5951508,1.2222,80.7951508,-87.6222
73,a82.8x-86.4,82.8,-86.4,-1.6898224,1.1462418,84.4898224,-87.5462418
74,a86.4x-86.4,86.4,-86.4,-1.7747971,1.06978,88.1747971,-87.46978
75,a90x-86.4,90,-86.4,-1.8501053,0.9932571,91.8501053,-87.3932571
76,a93.6x-86.4,93.6,-86.4,-1.9158615,0.917131,95.5158615,-87.317131
77,a97.2x-86.4,97.2,-86.4,-1.9722031,0.8418213,99.1722031,-87.2418213
78,a100.8x-86.4,100.8,-86.4,-2.0180313,0.7679535,102.8180313,-87.1679535
79,a104.4x-86.4,104.4,-86.4,-2.0545822,0.6958862,106.4545822,-87.0958862
80,a108x-86.4,108,-86.4,-2.082695,0.6258331,110.082695,-87.0258331
81,a111.6x-86.4,111.6,-86.4,-2.1027359,0.5580612,113.7027359,-86.9580612
82,a115.2x-86.4,115.2,-86.4,-2.115094,0.4928146,117.315094,-86.8928146
83,a118.8x-86.4,118.8,-86.4,-2.120166,0.4302841,120.920166,-86.8302841
84,a122.4x-86.4,122.4,-86.4,-2.118364,0.3706375,124.518364,-86.7706375
85,a126x-86.4,126,-86.4,-2.109024,0.3146072,128.109024,-86.7146072
86,a129.6x-86.4,129.6,-86.4,-2.0937714,0.2617737,131.6937714,-86.6617737
87,a133.2x-86.4,133.2,-86.4,-2.0731323,0.212114,135.2731323,-86.612114
88,a136.8x-86.4,136.8,-86.4,-2.0475494,0.1656433,138.8475494,-86.5656433
89,a140.4x-86.4,140.4,-86.4,-2.0174194,0.1223389,142.4174194,-86.5223389
90,a144x-86.4,144,-86.4,-1.9831238,0.0821777,145.9831238,-86.4821777
91,a147.6x-86.4,147.6,-86.4,-1.9449982,0.0451599,149.5449982,-86.4451599
92,a151.2x-86.4,151.2,-86.4,-1.9029358,0.0117126,153.1029358,-86.4117126
93,a154.8x-86.4,154.8,-86.4,-1.8579742,-0.0188736,156.6579742,-86.3811264
94,a158.4x-86.4,158.4,-86.4,-1.8104492,-0.0466904,160.2104492,-86.3533096
95,a162x-86.4,162,-86.4,-1.7606354,-0.071875,163.7606354,-86.328125
96,a165.6x-86.4,165.6,-86.4,-1.7088074,-0.0945419,167.3088074,-86.3054581
97,a169.2x-86.4,169.2,-86.4,-1.6552399,-0.1148361,170.8552399,-86.2851639
98,a172.8x-86.4,172.8,-86.4,-1.6001007,-0.1327728,174.4001007,-86.2672272
99,a176.4x-86.4,176.4,-86.4,-1.5435577,-0.1483444,177.9435577,-86.2516556
100,a-176.4x-82.8,-176.4,-82.8,1.3694092,-0.2909744,-177.7694092,-82.5090256
101,a-172.8x-82.8,-172.8,-82.8,1.4322845,-0.3003815,-174.2322845,-82.4996185
102,a-169.2x-82.8,-169.2,-82.8,1.4962585,-0.3098419,-170.6962585,-82.4901581
103,a-165.6x-82.8,-165.6,-82.8,1.5612091,-0.3193253,-167.1612091,-82.4806747
104,a-162x-82.8,-162,-82.8,1.6270752,-0.3288239,-163.6270752,-82.4711761
105,a-158.4x-82.8,-158.4,-82.8,1.6938416,-0.3383072,-160.0938416,-82.4616928
106,a-154.8x-82.8,-154.8,-82.8,1.7614929,-0.3477905,-156.5614929,-82.4522095
107,a-151.2x-82.8,-151.2,-82.8,1.8299988,-0.3572586,-153.0299988,-82.4427414
108,a-147.6x-82.8,-147.6,-82.8,1.8993591,-0.3667496,-149.4993591,-82.4332504
109,a-144x-82.8,-144,-82.8,1.9696808,-0.3763245,-145.9696808,-82.4236755
110,a-140.4x-82.8,-140.4,-82.8,2.0408417,-0.3860291,-142.4408417,-82.4139709
111,a-136.8x-82.8,-136.8,-82.8,2.1128265,-0.3959244,-138.9128265,-82.4040756
112,a-133.2x-82.8,-133.2,-82.8,2.1856964,-0.406102,-135.3856964,-82.393898
113,a-129.6x-82.8,-129.6,-82.8,2.2594971,-0.4166611,-131.8594971,-82.3833389
114,a-126x-82.8,-126,-82.8,2.3343506,-0.4277161,-128.3343506,-82.3722839
115,a-122.4x-82.8,-122.4,-82.8,2.4104324,-0.4393814,-124.8104324,-82.3606186
116,a-118.8x-82.8,-118.8,-82.8,2.4883072,-0.4519241,-121.2883072,-82.3480759
117,a-115.2x-82.8,-115.2,-82.8,2.5681274,-0.4652756,-117.7681274,-82.3347244
118,a-111.6x-82.8,-111.6,-82.8,2.6503738,-0.4794281,-114.2503738,-82.3205719
119,a-108x-82.8,-108,-82.8,2.7356491,-0.4942673,-110.7356491,-82.3057327
120,a-104.4x-82.8,-104.4,-82.8,2.8246857,-0.5095184,-107.2246857,-82.2904816
121,a-100.8x-82.8,-100.8,-82.8,2.9183075,-0.5247162,-103.7183075,-82.2752838
122,a-97.2x-82.8,-97.2,-82.8,3.0178497,-0.5389374,-100.2178497,-82.2610626
