index,cx,cy,dx,dy,newX,newY
a-151.2x-176.4,-151.2,-176.4,-180,0,-151.1999969,-176.4
a-147.6x-176.4,-147.6,-176.4,-180,0,-147.6000061,-176.4
a-144x-176.4,-144,-176.4,-180,0,-144,-176.4
a-140.4x-176.4,-140.4,-176.4,-180,0,-140.3999939,-176.4
a-136.8x-176.4,-136.8,-176.4,-180,0,-136.8000031,-176.4
a-133.2x-176.4,-133.2,-176.4,-180,0,-133.1999969,-176.4
a-129.6x-176.4,-129.6,-176.4,-180,0,-129.6000061,-176.4
a-126x-176.4,-126,-176.4,-180,0,-126,-176.4
a-122.4x-176.4,-122.4,-176.4,-180,0,-122.4000015,-176.4
a-118.8x-176.4,-118.8,-176.4,-180,0,-118.8000031,-176.4
a-115.2x-176.4,-115.2,-176.4,-180,0,-115.1999969,-176.4
a-111.6x-176.4,-111.6,-176.4,-180,0,-111.5999985,-176.4
a-108x-176.4,-108,-176.4,-180,0,-108,-176.4
a-104.4x-176.4,-104.4,-176.4,-180,0,-104.4000015,-176.4
a-100.8x-176.4,-100.8,-176.4,-180,0,-100.8000031,-176.4
a-97.2x-176.4,-97.2,-176.4,-180,0,-97.1999969,-176.4
a-93.6x-176.4,-93.6,-176.4,-180,0,-93.5999985,-176.4
a-90x-176.4,-90,-176.4,-180,0,-90,-176.4
a-86.4x-176.4,-86.4,-176.4,-180,0,-86.4000015,-176.4
a-82.8x-176.4,-82.8,-176.4,-180,0,-82.8000031,-176.4
a-79.2x-176.4,-79.2,-176.4,-180,0,-79.1999969,-176.4
a-75.6x-176.4,-75.6,-176.4,-180,0,-75.5999985,-176.4
a-72x-176.4,-72,-176.4,-180,0,-72,-176.4
a-68.4x-176.4,-68.4,-176.4,-180,0,-68.4000015,-176.4
a-64.8x-176.4,-64.8,-176.4,-180,0,-64.8000031,-176.4
a-61.2x-176.4,-61.2,-176.4,-180,0,-61.2000008,-176.4
a-57.6x-176.4,-57.6,-176.4,-180,0,-57.5999985,-176.4
a-54x-176.4,-54,-176.4,-180,0,-54,-176.4
a-50.4x-176.4,-50.4,-176.4,-180,0,-50.4000015,-176.4
a-46.8x-176.4,-46.8,-176.4,-180,0,-46.7999992,-176.4
a-43.2x-176.4,-43.2,-176.4,-180,0,-43.2000008,-176.4
a-39.6x-176.4,-39.6,-176.4,-180,0,-39.5999985,-176.4
a-36x-176.4,-36,-176.4,-180,0,-36,-176.4
a-32.4x-176.4,-32.4,-176.4,-180,0,-32.4000015,-176.4
a-28.8x-176.4,-28.8,-176.4,-180,0,-28.7999992,-176.4
a-25.2x-176.4,-25.2,-176.4,-180,0,-25.2000008,-176.4
a-21.6x-176.4,-21.6,-176.4,-180,0,-21.6000004,-176.4
a-18x-176.4,-18,-176.4,-180,0,-18,-176.4
a-14.4x-176.4,-14.4,-176.4,-180,0,-14.3999996,-176.4
a-10.8x-176.4,-10.8,-176.4,-180,0,-10.8000002,-176.4
a-7.2x-176.4,-7.2,-176.4,-180,0,-7.1999998,-176.4
a-3.6x-176.4,-3.6,-176.4,-180,0,-3.5999999,-176.4
a0x-176.4,0,-176.4,-180,0,0,-176.4
a3.6x-176.4,3.6,-176.4,-180,0,3.5999999,-176.4
a7.2x-176.4,7.2,-176.4,-180,0,7.1999998,-176.4
a10.8x-176.4,10.8,-176.4,-180,0,10.8000002,-176.4
a14.4x-176.4,14.4,-176.4,-180,0,14.3999996,-176.4
a18x-176.4,18,-176.4,-180,0,18,-176.4
a21.6x-176.4,21.6,-176.4,-180,0,21.6000004,-176.4
a25.2x-176.4,25.2,-176.4,-180,0,25.2000008,-176.4
a28.8x-176.4,28.8,-176.4,-180,0,28.7999992,-176.4
a32.4x-176.4,32.4,-176.4,-180,0,32.4000015,-176.4
a36x-176.4,36,-176.4,-180,0,36,-176.4
a39.6x-176.4,39.6,-176.4,-180,0,39.5999985,-176.4
a43.2x-176.4,43.2,-176.4,-180,0,43.2000008,-176.4
a46.8x-176.4,46.8,-176.4,-180,0,46.7999992,-176.4
a50.4x-176.4,50.4,-176.4,-180,0,50.4000015,-176.4
a54x-176.4,54,-176.4,-180,0,54,-176.4
a57.6x-176.4,57.6,-176.4,-180,0,57.5999985,-176.4
a61.2x-176.4,61.2,-176.4,-180,0,61.2000008,-176.4
a64.8x-176.4,64.8,-176.4,-180,0,64.8000031,-176.4
a68.4x-176.4,68.4,-176.4,-180,0,68.4000015,-176.4
a72x-176.4,72,-176.4,-180,0,72,-176.4
a75.6x-176.4,75.6,-176.4,-180,0,75.5999985,-176.4
a79.2x-176.4,79.2,-176.4,-180,0,79.1999969,-176.4
a82.8x-176.4,82.8,-176.4,-180,0,82.8000031,-176.4
a86.4x-176.4,86.4,-176.4,-180,0,86.4000015,-176.4
a90x-176.4,90,-176.4,-180,0,90,-176.4
a93.6x-176.4,93.6,-176.4,-180,0,93.5999985,-176.4
a97.2x-176.4,97.2,-176.4,-180,0,97.1999969,-176.4
a100.8x-176.4,100.8,-176.4,-180,0,100.8000031,-176.4
a104.4x-176.4,104.4,-176.4,-180,0,104.4000015,-176.4
a108x-176.4,108,-176.4,-180,0,108,-176.4
a111.6x-176.4,111.6,-176.4,-180,0,111.5999985,-176.4
a115.2x-176.4,115.2,-176.4,-180,0,115.1999969,-176.4
a118.8x-176.4,118.8,-176.4,-180,0,118.8000031,-176.4
a122.4x-176.4,122.4,-176.4,-180,0,122.4000015,-176.4
a126x-176.4,126,-176.4,-180,0,126,-176.4
a129.6x-176.4,129.6,-176.4,-180,0,129.6000061,-176.4
a133.2x-176.4,133.2,-176.4,-180,0,133.1999969,-176.4
a136.8x-176.4,136.8,-176.4,-180,0,136.8000031,-176.4
a140.4x-176.4,140.4,-176.4,-180,0,140.3999939,-176.4
a144x-176.4,144,-176.4,-180,0,144,-176.4
a147.6x-176.4,147.6,-176.4,-180,0,147.6000061,-176.4
a151.2x-176.4,151.2,-176.4,-180,0,151.1999969,-176.4
a154.8x-176.4,154.8,-176.4,-180,0,154.8000031,-176.4
a158.4x-176.4,158.4,-176.4,-180,0,158.3999939,-176.4
a162x-176.4,162,-176.4,-180,0,162,-176.4
a165.6x-176.4,165.6,-176.4,-180,0,165.6000061,-176.4
a169.2x-176.4,169.2,-176.4,-180,0,169.1999969,-176.4
a172.8x-176.4,172.8,-176.4,-180,0,172.8000031,-176.4
a176.4x-176.4,176.4,-176.4,-180,0,176.3999939,-176.4
a-180x-172.8,-180,-172.8,-180,0,-180,-172.8
a-176.4x-172.8,-176.4,-172.8,-180,0,-176.3999939,-172.8
a-172.8x-172.8,-172.8,-172.8,-180,0,-172.8000031,-172.8
