index,cx,cy,dx,dy,newX,newY
a118.8x-180,118.8,-180,3.1E-06,9.9476E-13,118.8000031,-180
a122.4x-180,122.4,-180,1.5E-06,9.9476E-13,122.4000015,-180
a126x-180,126,-180,0,9.9476E-13,126,-180
a129.6x-180,129.6,-180,6.1E-06,9.9476E-13,129.6000061,-180
a133.2x-180,133.2,-180,-3.1E-06,9.9476E-13,133.1999969,-180
a136.8x-180,136.8,-180,3.1E-06,9.9476E-13,136.8000031,-180
a140.4x-180,140.4,-180,-6.1E-06,9.9476E-13,140.3999939,-180
a144x-180,144,-180,0,9.9476E-13,144,-180
a147.6x-180,147.6,-180,6.1E-06,9.9476E-13,147.6000061,-180
a151.2x-180,151.2,-180,-3.1E-06,9.9476E-13,151.1999969,-180
a154.8x-180,154.8,-180,3.1E-06,9.9476E-13,154.8000031,-180
a158.4x-180,158.4,-180,-6.1E-06,9.9476E-13,158.3999939,-180
a162x-180,162,-180,0,9.9476E-13,162,-180
a165.6x-180,165.6,-180,6.1E-06,9.9476E-13,165.6000061,-180
a169.2x-180,169.2,-180,-3.1E-06,9.9476E-13,169.1999969,-180
a172.8x-180,172.8,-180,3.1E-06,9.9476E-13,172.8000031,-180
a176.4x-180,176.4,-180,-6.1E-06,9.9476E-13,176.3999939,-180
a-180x-176.4,-180,-176.4,0,9.9476E-13,-180,-176.4
a-176.4x-176.4,-176.4,-176.4,6.1E-06,9.9476E-13,-176.3999939,-176.4
a-172.8x-176.4,-172.8,-176.4,-3.1E-06,9.9476E-13,-172.8000031,-176.4
a-169.2x-176.4,-169.2,-176.4,3.1E-06,9.9476E-13,-169.1999969,-176.4
a-165.6x-176.4,-165.6,-176.4,-6.1E-06,9.9476E-13,-165.6000061,-176.4
a-162x-176.4,-162,-176.4,0,9.9476E-13,-162,-176.4
a-158.4x-176.4,-158.4,-176.4,6.1E-06,9.9476E-13,-158.3999939,-176.4
a-154.8x-176.4,-154.8,-176.4,-3.1E-06,9.9476E-13,-154.8000031,-176.4
a-151.2x-176.4,-151.2,-176.4,3.1E-06,9.9476E-13,-151.1999969,-176.4
a-147.6x-176.4,-147.6,-176.4,-6.1E-06,9.9476E-13,-147.6000061,-176.4
a-144x-176.4,-144,-176.4,0,9.9476E-13,-144,-176.4
a-140.4x-176.4,-140.4,-176.4,6.1E-06,9.9476E-13,-140.3999939,-176.4
a-136.8x-176.4,-136.8,-176.4,-3.1E-06,9.9476E-13,-136.8000031,-176.4
a-133.2x-176.4,-133.2,-176.4,3.1E-06,9.9476E-13,-133.1999969,-176.4
a-129.6x-176.4,-129.6,-176.4,-6.1E-06,9.9476E-13,-129.6000061,-176.4
a-126x-176.4,-126,-176.4,0,9.9476E-13,-126,-176.4
a-122.4x-176.4,-122.4,-176.4,-1.5E-06,9.9476E-13,-122.4000015,-176.4
a-118.8x-176.4,-118.8,-176.4,-3.1E-06,9.9476E-13,-118.8000031,-176.4
a-115.2x-176.4,-115.2,-176.4,3.1E-06,9.9476E-13,-115.1999969,-176.4
a-111.6x-176.4,-111.6,-176.4,1.5E-06,9.9476E-13,-111.5999985,-176.4
a-108x-176.4,-108,-176.4,0,9.9476E-13,-108,-176.4
a-104.4x-176.4,-104.4,-176.4,-1.5E-06,9.9476E-13,-104.4000015,-176.4
a-100.8x-176.4,-100.8,-176.4,-3.1E-06,9.9476E-13,-100.8000031,-176.4
a-97.2x-176.4,-97.2,-176.4,3.1E-06,9.9476E-13,-97.1999969,-176.4
a-93.6x-176.4,-93.6,-176.4,1.5E-06,9.9476E-13,-93.5999985,-176.4
a-90x-176.4,-90,-176.4,0,9.9476E-13,-90,-176.4
a-86.4x-176.4,-86.4,-176.4,-1.5E-06,9.9476E-13,-86.4000015,-176.4
a-82.8x-176.4,-82.8,-176.4,-3.1E-06,9.9476E-13,-82.8000031,-176.4
a-79.2x-176.4,-79.2,-176.4,3.1E-06,9.9476E-13,-79.1999969,-176.4
a-75.6x-176.4,-75.6,-176.4,1.5E-06,9.9476E-13,-75.5999985,-176.4
a-72x-176.4,-72,-176.4,0,9.9476E-13,-72,-176.4
a-68.4x-176.4,-68.4,-176.4,-1.5E-06,9.9476E-13,-68.4000015,-176.4
a-64.8x-176.4,-64.8,-176.4,-3.1E-06,9.9476E-13,-64.8000031,-176.4
a-61.2x-176.4,-61.2,-176.4,-8E-07,9.9476E-13,-61.2000008,-176.4
a-57.6x-176.4,-57.6,-176.4,1.5E-06,9.9476E-13,-57.5999985,-176.4
a-54x-176.4,-54,-176.4,0,9.9476E-13,-54,-176.4
a-50.4x-176.4,-50.4,-176.4,-1.5E-06,9.9476E-13,-50.4000015,-176.4
a-46.8x-176.4,-46.8,-176.4,8E-07,9.9476E-13,-46.7999992,-176.4
a-43.2x-176.4,-43.2,-176.4,-8E-07,9.9476E-13,-43.2000008,-176.4
a-39.6x-176.4,-39.6,-176.4,1.5E-06,9.9476E-13,-39.5999985,-176.4
a-36x-176.4,-36,-176.4,0,9.9476E-13,-36,-176.4
a-32.4x-176.4,-32.4,-176.4,-1.5E-06,9.9476E-13,-32.4000015,-176.4
a-28.8x-176.4,-28.8,-176.4,8E-07,9.9476E-13,-28.7999992,-176.4
a-25.2x-176.4,-25.2,-176.4,-8E-07,9.9476E-13,-25.2000008,-176.4
a-21.6x-176.4,-21.6,-176.4,-4E-07,9.9476E-13,-21.6000004,-176.4
a-18x-176.4,-18,-176.4,0,9.9476E-13,-18,-176.4
a-14.4x-176.4,-14.4,-176.4,4E-07,9.9476E-13,-14.3999996,-176.4
a-10.8x-176.4,-10.8,-176.4,-2E-07,9.9476E-13,-10.8000002,-176.4
a-7.2x-176.4,-7.2,-176.4,2E-07,9.9476E-13,-7.1999998,-176.4
