UO_ID,NameInIndex,case,DeathPrecision,DeathDate,BornPrecision,BirthDate,Alive precision,AliveDate,LifeLength Precision,LifeLength,aproxBirthDate,aproxDeathDate,Index Category 1,NameOnChart,OnChartCategory,On Chart: Line #,Section starting Line,LineNumber,FullTextPageNum,WikiLink,Alternate Link,Region_final,Sex or gender V2,country,continent
642,Conrad of Montferat,case2,d.,1191,,,,,,,1146,1191,,Conrad M.,Statesmen and Warriors,15,126,141,58,https://en.wikipedia.org/wiki/Conrad_of_Montferrat,,Italy,male,Italy,Europe
643,Conrad of Naples,case1,d.,1254,,,,,,25,1229,1254,,Conrad,Statesmen and Warriors,12,126,138,58,https://en.wikipedia.org/wiki/Conrad_IV_of_Germany,,Italy,male,Italy,Europe
644,Conradin,case2,d.,1268,,,,,,,1223,1268,,Conradin N.,Statesmen and Warriors,9,126,135,58,https://en.wikipedia.org/wiki/Conradin,,Germany,male,Germany,Europe
645,Constantine Harmenopylus,case1,d.,1380,,,,,,60,1320,1380,L,Constantine Ib.,Historians and Antiquaries Lawyers,3,0,3,58,https://en.wikipedia.org/wiki/Constantine_Harmenopoulos,,,male,Byzantine Empire|Latin Empire|Ottoman Empire,Europe|Europe|Asia|Asia|Europe|Africa
646,Constantine Porphyrogenita,case2,d.,959,,,,,,,914,959,H,Constantine Por.,Historians and Antiquaries Lawyers,15,0,15,58,https://en.wikipedia.org/wiki/Constantine_VII,,,male,Byzantine Empire|Latin Empire|Ottoman Empire,Europe|Europe|Asia|Asia|Europe|Africa
647,Constantine the Great,case1,d.,337,,,,,,66,271,337,,Constantine,Statesmen and Warriors,19,126,145,58,https://en.wikipedia.org/wiki/Constantine_the_Great,,Turky in Europe,male,Serbia,Europe
648,Constantino,"case3
",,,,,fl.,1090,,,1067,1113,Ph,Constantino,Mathematicians &cc Physicians,8,68,76,42,https://en.wikipedia.org/wiki/Constantine_the_African,,Africa,male,Tunisia,Africa
649,Constantius Chlorus,case2,d.,306,,,,,,,261,306,,Constantius,Statesmen and Warriors,21,126,147,59,https://en.wikipedia.org/wiki/Constantius_Chlorus,,Turky in Europe,missing from OpenRefine results,Byzantine Empire|Ancient Rome,Europe|Europe|Africa|Asia
650,"Cooke, Edward",case1,d.,1634,,,,,,85,1549,1634,L,Coke,Historians and Antiquaries Lawyers,1,0,1,58,https://en.wikipedia.org/wiki/Edward_Coke,,Great Britain,male,United Kingdom,Europe
651,Copernicus,case1,d.,1543,,,,,,60,1483,1543,M,Copernicus,Mathematicians &cc Physicians,23,68,91,59,https://en.wikipedia.org/wiki/Nicolaus_Copernicus,,Russia,male,Poland,Europe
652,Coreggio of Parma,case2,d.,1312,,,,,,,1267,1312,,Corregio,Statesmen and Warriors,8,126,134,59,,,Italy,missing from OpenRefine results,Unknown,Unknown
653,Corelli,case2,d.,1733,,,,,,,1688,1733,Mu,Corelli,Artists Poets,26,42,68,59,https://en.wikipedia.org/wiki/Arcangelo_Corelli,,Italy,male,Italy|Italy,Europe|Europe
654,Corinthus,"case3
",,,,,fl.,650,,,627,673,Cr,Corinthus,Orators and Critics &cc,15,22,37,59,https://en.wikipedia.org/wiki/Gregory_of_Corinth,,,male,Unknown,Unknown
655,Coriolanus,case2,d.,-488,,,,,,,-533,-488,,Coriolanus,Statesmen and Warriors,21,126,147,59,https://en.wikipedia.org/wiki/Gaius_Marcius_Coriolanus,,Italy,male,Unknown,Unknown
656,Cornaro,case1,d.,1565,,,,,,100,1465,1565,Ph,Cornaro,Mathematicians &cc Physicians,6,68,74,59,https://en.wikipedia.org/wiki/Luigi_Cornaro,,Italy,male,Italy,Europe
657,Corneille,case1,d.,1684,,,,,,78,1606,1684,P,Corneille,Artists Poets,2,42,44,59,https://en.wikipedia.org/wiki/Pierre_Corneille,,France,male,France,Europe
658,Cornificius,"case3
",,,,,fl.,-30,,,-53,-7,Cr,Cornificius,Orators and Critics &cc,7,22,29,59,https://en.wikipedia.org/wiki/Quintus_Cornificius,,Italy,male,Unknown,Unknown
659,Correggio,case1,d.,1534,,,,,,40,1494,1534,Pa,A. Correggio,Artists Poets,25,42,67,59,https://en.wikipedia.org/wiki/Antonio_da_Correggio,,Italy,male,Italy,Europe
660,Cortes,case1,d.,1554,,,,,,62,1492,1554,,Cortez,Statesmen and Warriors,6,126,132,59,https://en.wikipedia.org/wiki/Hern%C3%A1n_Cort%C3%A9s,,Spain,male,Spain,Europe
661,"Corvinus, Messala",case1,d.,9,,,,,,75,-66,9,H,M. Corvinus,Historians and Antiquaries Lawyers,17,0,17,59,https://en.wikipedia.org/wiki/Marcus_Valerius_Messalla_Corvinus,,Italy,male,Unknown,Unknown
662,"Corvus, Valerius",case8,d. af.,298,,,,,ab.,100,253,299,,Val. Corvus,Statesmen and Warriors,27,126,153,59,https://en.wikipedia.org/wiki/Marcus_Valerius_Corvus,,Italy,male,Italy,Europe
663,"Cosmas, Monachus","case3
",,,,,fl.,730,,,707,753,P,Cosmas,Artists Poets,7,42,49,59,https://en.wikipedia.org/wiki/Cosmas_Indicopleustes,,Africa,male,Egypt,Africa|Asia
664,Cosmo de Medicis,case1,d.,1464,,,,,,75,1389,1464,,Cosmo Med:,Statesmen and Warriors,10,126,136,59,https://en.wikipedia.org/wiki/Cosimo_de%27_Medici,,Italy,male,Italy,Europe
665,"Cotes, Roger",case1,d.,1716,,,,,,33,1683,1716,M,Cotes,Mathematicians &cc Physicians,21,68,89,59,https://en.wikipedia.org/wiki/Roger_Cotes,,Great Britain,male,United Kingdom,Europe
666,"Cotton, Robert",case1,d.,1631,,,,,,60,1571,1631,Ant,Cotton,Historians and Antiquaries Lawyers,19,0,19,59,"https://en.wikipedia.org/wiki/Sir_Robert_Cotton,_1st_Baronet,_of_Connington",,Great Britain,male,United Kingdom,Europe
667,Cowel,case4,d.,1611,,,,,ab.,61,1550,1611,L,Cowel,Historians and Antiquaries Lawyers,3,0,3,59,https://en.wikipedia.org/wiki/John_Cowell_(jurist),,Great Britain,male,United Kingdom,Europe
668,Cowley,case1,d.,1667,,,,,,48,1619,1667,P,Cowley,Artists Poets,10,42,52,59,https://en.wikipedia.org/wiki/Abraham_Cowley,,Great Britain,male,United Kingdom,Europe
669,Craesus,,,,,,,-550,,,,,,Craesus,Statesmen and Warriors,8,126,134,-99,https://en.wikipedia.org/wiki/Croesus,,,male,Unknown,Unknown
670,Cranaus,"case3
",,,,,fl.,-1045,,,-1068,-1022,,Cranaus,Statesmen and Warriors,19,126,145,59,https://en.wikipedia.org/wiki/Cranaus,,,male,Unknown,Unknown
671,Cranmer,case1,d.,1556,,,,,,67,1489,1556,D,Cranmer,Divines and Metaphysicians &cc,15,98,113,59,https://en.wikipedia.org/wiki/Thomas_Cranmer,,Great Britain,male,United Kingdom,Europe
672,Crantor,case2,d. ab.,-272,,,,,,,-317,-272,HP Ac,Crantor,Divines and Metaphysicians &cc,14,98,112,59,https://en.wikipedia.org/wiki/Crantor,,,male,Turkey,Asia|Europe
673,Crantzius,case2,d.,1517,,,,,,,1472,1517,H,Crantzius,Historians and Antiquaries Lawyers,14,0,14,59,https://en.wikipedia.org/wiki/Albert_Krantz,,Germany,male,Germany,Europe
674,Crassus,case2,d.,-53,,,,,,,-98,-53,,Crassus,Statesmen and Warriors,8,126,134,59,https://en.wikipedia.org/wiki/Marcus_Licinius_Crassus,,Italy,male,Italy,Europe
675,Crassus L.,case1,d.,-19,,,,,,48,-67,-19,Or,L. Crassus,Orators and Critics &cc,15,22,37,59,https://en.wikipedia.org/wiki/Lucius_Licinius_Crassus,,Italy,male,Italy,Europe
676,Craterus,case2,d.,-321,,,,,,,-366,-321,,Craterus,Statesmen and Warriors,5,126,131,59,https://en.wikipedia.org/wiki/Craterus,,,missing from OpenRefine results,Macedonia,Europe
677,Crates,case2,d. ab.,-250,,,,,,,-295,-250,HP Ac,Crates,Divines and Metaphysicians &cc,12,98,110,59,https://en.wikipedia.org/wiki/Crates_of_Thebes,,Turky in Europe,male,Greece,Europe
678,Crates Mallotes,"case3
",,,,,fl.,-165,,,-188,-142,Cr,Crates Mal:,Orators and Critics &cc,11,22,33,59,https://en.wikipedia.org/wiki/Crates_of_Mallus,,,male,Turkey,Asia|Europe
679,Crates Thebanus,case8,d. af.,-287,,,,,,,242,288,HP Cyr,Crates Theb:,Divines and Metaphysicians &cc,3,98,101,59,https://en.wikipedia.org/wiki/Crates_of_Thebes,,Turky in Europe,male,Greece,Europe
680,Cratinus,case2,d.,-431,,,,,,,-476,-431,P,Cratinus,Artists Poets,2,42,44,59,https://en.wikipedia.org/wiki/Cratinus,,Turky in Europe,male,Greece,Europe
681,Cratippus,"case3
",,,,,fl.,-53,,,-76,-30,HP Per,Cratippus,Divines and Metaphysicians &cc,3,98,101,59,https://en.wikipedia.org/wiki/Cratippus_of_Pergamon,,,male,Turkey,Asia|Europe
682,Crellius,case1,d.,1632,,,,,,43,1589,1632,D,Crellius,Divines and Metaphysicians &cc,2,98,100,59,https://en.wikipedia.org/wiki/Johannes_Crellius,,Germany,male,Germany,Europe
683,Creon,"case3
",,,,,fl.,-607,,,-630,-584,,Creon,Statesmen and Warriors,24,126,150,59,https://en.wikipedia.org/wiki/Eponymous_archon,,,,Unknown,Unknown
684,Crescentius,case2,d.,998,,,,,,,953,998,,Crescentius,Statesmen and Warriors,12,126,138,60,https://en.wikipedia.org/wiki/Crescentius_the_Younger,,Italy,male,Italy,Europe
685,Cresconius,"case3
",,,,,fl.,690,,,667,713,L,Cresconius,Historians and Antiquaries Lawyers,3,0,3,60,https://en.wikipedia.org/wiki/Cresconius_Africanus,,,male,Unknown,Unknown
686,Crida of Mercia,case2,d.,595,,,,,,,550,595,,Crida,Statesmen and Warriors,21,126,147,60,https://en.wikipedia.org/wiki/Creoda_of_Mercia,,,male,Unknown,Unknown
687,Critias,case2,d.,-401,,,,,,,-446,-401,,Critias,Statesmen and Warriors,19,126,145,60,https://en.wikipedia.org/wiki/Critias,,Turky in Europe,missing from OpenRefine results,Classical Athens,Europe
688,Crito,"case3
",,,,,fl.,100,,,77,123,Ph,Crito,Mathematicians &cc Physicians,3,68,71,60,https://en.wikipedia.org/wiki/Crito_of_Alopece,,Turky in Europe,male,Unknown,Unknown
689,Crito,"case3
",,,,,fl.,-400,,,-423,-377,HP Soc,Crito,Divines and Metaphysicians &cc,16,98,114,60,https://en.wikipedia.org/wiki/Crito_of_Alopece,,Turky in Europe,male,Unknown,Unknown
690,Critolaus Phaselites,case2,d. ab.,-140,,,,,,,-185,-140,,Critolaus,Divines and Metaphysicians &cc,18,98,116,60,https://en.wikipedia.org/wiki/Critolaus,,Turky,male,Turkey,Asia|Europe
691,Croesus,,,,b.,559,,,,,-23,23,,,,,,0,60,https://en.wikipedia.org/wiki/Croesus,,,missing from OpenRefine results,Unknown,Unknown
692,"Cromwell, Oliver",case1,d.,1658,,,,,,60,1598,1658,,Cromwel,Statesmen and Warriors,21,126,147,60,https://en.wikipedia.org/wiki/Oliver_Cromwell,,Great Britain,male,United Kingdom,Europe
693,"Cromwell, Thomas",case2,d.,1540,,,,,,,1495,1540,,Th. Cromwel,Statesmen and Warriors,24,126,150,60,https://en.wikipedia.org/wiki/Thomas_Cromwell,,Great Britain,male,United Kingdom,Europe
694,Crunnus,case2,d. ab.,814,,,,,,,769,814,,Crunnus,Statesmen and Warriors,18,126,144,60,https://en.wikipedia.org/wiki/Krum,,Germany,male,Ancient Rome,Europe|Africa|Asia
695,Ctesias,case8,d. af.,-384,,,,,,,339,385,H,Ctesias,Historians and Antiquaries Lawyers,20,0,20,60,https://en.wikipedia.org/wiki/Ctesias,,,missing from OpenRefine results,Unknown,Unknown
696,Ctesibius,case2,d.,-256,,,,,,,-301,-256,H,Ctesibius,Historians and Antiquaries Lawyers,17,0,17,60,https://en.wikipedia.org/wiki/Ctesibius,,Africa,male,Egypt,Africa|Asia
697,Ctesibius Alex,"case3
",,,,,fl.,-136,,,-159,-113,M,Ctesibius,Mathematicians &cc Physicians,19,68,87,60,https://en.wikipedia.org/wiki/Ctesibius,,Africa,male,Egypt,Africa|Asia
698,Cudworth,case1,d.,1688,,,,,,71,1617,1688,D,Cudworth,Divines and Metaphysicians &cc,21,98,119,60,https://en.wikipedia.org/wiki/Ralph_Cudworth,,Great Britain,male,United Kingdom,Europe
699,Cujacius,case1,d.,1590,,,,,,68,1522,1590,L,Cujacius,Historians and Antiquaries Lawyers,7,0,7,60,https://en.wikipedia.org/wiki/Jacques_Cujas,,France,male,France,Europe
700,Curio,case2,d.,-48,,,,,,,-93,-48,,Curio,Statesmen and Warriors,26,126,152,60,https://en.wikipedia.org/wiki/Gaius_Scribonius_Curio,,,,Unknown,Unknown
701,"Curtius, Quintus","case3
",,,,,fl.,64,,,41,87,H,Curtius,Historians and Antiquaries Lawyers,12,0,12,60,https://en.wikipedia.org/wiki/Quintus_Curtius_Rufus,,Turky in Europe,male,Greece,Europe
702,"Cusanus, Nicolas",case1,d.,1464,,,,,,63,1401,1464,D,Cusanus,Divines and Metaphysicians &cc,12,98,110,60,https://en.wikipedia.org/wiki/Nicholas_of_Cusa,,Germany,male,Germany,Europe
703,"Cushgi, Ali","case3
",,,,,fl.,1437,,,1414,1460,M,Ali Cushgi,Mathematicians &cc Physicians,24,68,92,42,https://en.wikipedia.org/wiki/Ali_Qushji,,BLANK 1,male,Uzbekistan,Asia
704,Cuspinian,case2,d.,1529,,,,,,,1484,1529,L,Cuspinian,Historians and Antiquaries Lawyers,4,0,4,60,https://en.wikipedia.org/wiki/Johannes_Cuspinian,,Germany,male,Germany,Europe
705,Cyaxares,case8,d. af.,-585,,,,,,,540,586,,Cyaxares,Statesmen and Warriors,5,126,131,42,https://en.wikipedia.org/wiki/Cyaxares,,Persia,missing from OpenRefine results,Iran,Asia
706,Cydias,"case3
",,,,,fl.,-354,,,-377,-331,Pa,Cydias,Artists Poets,20,42,62,60,https://en.wikipedia.org/wiki/Cydias,,,male,Unknown,Unknown
707,Cyprian,case2,d.,258,,,,,,,213,258,F,Cyprian,Divines and Metaphysicians &cc,13,98,111,60,https://en.wikipedia.org/wiki/Cyprian,,Africa,missing from OpenRefine results,Tunisia,Africa
708,Cyril of Alex,case2,d.,444,,,,,,,399,444,F,Cyril Al:,Divines and Metaphysicians &cc,7,98,105,60,https://en.wikipedia.org/wiki/Cyril_of_Alexandria,,Africa,male,Egypt,Africa|Asia
709,Cyril of Jerusal.,"case3
",,,,,fl.,350,,,327,373,F,Cyril Jer:,Divines and Metaphysicians &cc,7,98,105,59,https://en.wikipedia.org/wiki/Cyril_of_Jerusalem,,Turky in Asia,male,Israel,Asia
710,Cyrus,case1,d.,-529,,,,,,70,-599,-529,,Cyrus,Statesmen and Warriors,6,126,132,60,https://en.wikipedia.org/wiki/Cyrus_the_Great,,Persia,male,Iran,Asia
711,Cyrus Junior,case2,d.,-401,,,,,,,-446,-401,,Cyrus Jun:,Statesmen and Warriors,4,126,130,60,https://en.wikipedia.org/wiki/Cyrus_the_Younger,,,male,Unknown,Unknown
712,"Dacier, Madam",case1,d.,1720,,,,,,69,1651,1720,Cr,Dacien,Orators and Critics &cc,17,22,39,61,https://en.wikipedia.org/wiki/Anne_Dacier,,France,female,France,Europe
713,"Dacius, P.","case3
",,,,,fl.,1300,,,1277,1323,M,P. Dacius,Mathematicians &cc Physicians,13,68,81,43,https://en.wikipedia.org/wiki/Petrus_de_Dacia_(mathematician),,Northern Crowns,male,Unknown,Unknown
714,Daedalus,"case3
",,,,,fl.,-987,,,-1010,-964,Ar,Daedalus,Artists Poets,22,42,64,61,https://en.wikipedia.org/wiki/Daedalus,,,male,Unknown,Unknown
715,Damascenus John,case2,d.,760,,,,,,,715,760,D,Damascenus,Divines and Metaphysicians &cc,7,98,105,61,https://en.wikipedia.org/wiki/John_of_Damascus,,Persia,male,Syria,Asia
716,Damascius,"case3
",,,,,fl.,540,,,517,563,HP,Damascius,Divines and Metaphysicians &cc,23,98,121,61,https://en.wikipedia.org/wiki/Damascius,,Persia,male,Syria,Asia
717,Damasus,case2,d.,366,,,,,,,321,366,F,Damasus,Divines and Metaphysicians &cc,24,98,122,61,https://en.wikipedia.org/wiki/Pope_Damasus_I,,Spain,male,Portugal,Europe
718,"Damiani, Peter",case2,d.,1072,,,,,,,1027,1072,D,Damiani,Divines and Metaphysicians &cc,20,98,118,61,https://en.wikipedia.org/wiki/Peter_Damian,,Italy,male,Italy,Europe
719,Danatus,"case3
",,,,,fl.,356,,,333,379,F,Donatus,Divines and Metaphysicians &cc,6,98,104,63,https://en.wikipedia.org/wiki/Donatus_Magnus,,Italy,male,Unknown,Unknown
720,"Danatus, Aelius","case3
",,,,,fl.,353,,,330,376,Or,Ae. Danatus,Orators and Critics &cc,16,22,38,63,https://en.wikipedia.org/wiki/Aelius_Donatus,,Italy,male,Unknown,Unknown
721,Danaus,"case3
",,,,,fl.,-939,,,-962,-916,,Danaus,Statesmen and Warriors,17,126,143,61,https://en.wikipedia.org/wiki/Danaus,,,male,Unknown,Unknown
722,Dandolo of Venice,case2,d.,1205,,,,,,,1160,1205,,Dandolo,Statesmen and Warriors,13,126,139,61,https://en.wikipedia.org/wiki/Enrico_Dandolo,,Italy,male,Italy,Europe
723,Daniel,case8,d. af.,-557,,,,,ab.,90,512,558,J,Daniel,Divines and Metaphysicians &cc,3,98,101,61,https://en.wikipedia.org/wiki/Daniel_(biblical_figure),,Turky in Asia,missing from OpenRefine results,Israel,Asia
724,Dante,case1,d.,1321,,,,,,56,1265,1321,P,Petrarch,Artists Poets,9,42,51,61,https://en.wikipedia.org/wiki/Dante_Alighieri,,Italy,missing from OpenRefine results,Italy,Europe
725,Darari,case2,d.,1017,,,,,,,972,1017,M,Darari,Divines and Metaphysicians &cc,4,98,102,61,,https://books.google.com/books?id=p9w68ict5e0C&pg=PA178&lpg=PA178&dq=dararians+sect&source=bl&ots=lK4nAflNXs&sig=ACfU3U0ho-QYSYhoq-OMj5UB04P3C4HRhQ&hl=en&sa=X&ved=2ahUKEwj9pKqVoJPnAhXNs54KHSr4AiYQ6AEwAXoECAsQAQ#v=snippet&q=darari&f=false,,missing from OpenRefine results,Unknown,Unknown
726,Datames,"case3
",,,,,fl.,-362,,,-385,-339,,Datames,Statesmen and Warriors,3,126,129,61,https://en.wikipedia.org/wiki/Datames,,,male,Unknown,Unknown
727,David,case1,d.,-1015,,,,,,69,-1084,-1015,,David,Statesmen and Warriors,13,126,139,61,https://en.wikipedia.org/wiki/David,,Turky in Asia,missing from OpenRefine results,State of Palestine,Asia
728,David de Pomis,"case3
",,,,,fl.,1534,,,1511,1557,J,D. de Pomis,Divines and Metaphysicians &cc,3,98,101,61,https://it.wikipedia.org/wiki/David_de_Pomis,,Italy,male,Italy,Europe
729,Davila,"case3
",,,,,fl.,1588,,,1565,1611,H,Davila,Historians and Antiquaries Lawyers,8,0,8,61,https://en.wikipedia.org/wiki/Enrico_Caterino_Davila,,Italy,male,Italy,Europe
730,De Moivre,case2,d.,1754,,,,,,,1709,1754,M,De Moivre,Mathematicians &cc Physicians,19,68,87,61,https://en.wikipedia.org/wiki/Abraham_de_Moivre,,France,male,France,Europe
731,Decius,case2,d.,251,,,,,,,206,251,,Decius,Statesmen and Warriors,12,126,138,61,https://en.wikipedia.org/wiki/Decius,,Germany,missing from OpenRefine results,Serbia,Europe
732,Decius Mus,case2,d.,-424,,,,,,,-469,-424,,Decius M.,Statesmen and Warriors,25,126,151,61,https://en.wikipedia.org/wiki/Publius_Decius_Mus_(consul_340_BC),,Italy,male,Unknown,Unknown
733,"Dee, John",case1,d.,1608,,,,,,80,1528,1608,M,Dee,Mathematicians &cc Physicians,24,68,92,61,https://en.wikipedia.org/wiki/John_Dee,,Great Britain,missing from OpenRefine results,United Kingdom,Europe
734,Demades,case2,d.,-322,,,,,,,-367,-322,,Demades,Orators and Critics &cc,10,22,32,61,https://en.wikipedia.org/wiki/Demades,,Turky in Europe,male,Classical Athens,Europe
735,Demetrius Phalereus,case2,d. ab.,284,,,,,,,239,284,,Demetrius Ph:,Statesmen and Warriors,21,126,147,61,https://en.wikipedia.org/wiki/Demetrius_of_Phalerum,,Turky in Europe,male,Classical Athens|Greece|Classical Athens,Europe|Europe|Europe
736,Demetrius Phalereus Junior,"case3
",,,,,fl.,150,,,127,173,Cr,Demet: Phal: 2nd,Orators and Critics &cc,7,22,29,61,https://en.wikipedia.org/wiki/Demetrius_of_Phalerum,,Turky in Europe,male,Classical Athens|Greece|Classical Athens,Europe|Europe|Europe
737,Demetrius Poliorcetes,case1,d.,-286,,,,,,54,-340,-286,,Demetrius P.,Statesmen and Warriors,3,126,129,61,https://en.wikipedia.org/wiki/Demetrius_I_of_Macedon,,,male,Unknown,Unknown
738,Democitus,case1,d.,-361,,,,,,109,-470,-361,HP Eleat,Democritus,Divines and Metaphysicians &cc,11,98,109,61,https://en.wikipedia.org/wiki/Democritus,,Turky in Europe,missing from OpenRefine results,Greece,Europe
739,Demophilus,"case3
",,,,,fl.,-300,,,-323,-277,M,Demophilus,Mathematicians &cc Physicians,23,68,91,45,https://en.wikipedia.org/wiki/Demophilus_(historian),,,missing from OpenRefine results,Unknown,Unknown
740,Demosthenes,case1,d.,-322,,,,,,60,-382,-322,Or,Demosthenes,Orators and Critics &cc,14,22,36,61,https://en.wikipedia.org/wiki/Demosthenes,,Turky in Europe,missing from OpenRefine results,Classical Athens,Europe
741,Denis of Portugal,case1,d.,1324,,,,,,63,1261,1324,,Denis P.,Statesmen and Warriors,13,126,139,61,https://en.wikipedia.org/wiki/Denis_of_Portugal,,Spain,missing from OpenRefine results,Portugal,Europe
742,Dentatus,"case3
",,,,,fl.,-274,,,-297,-251,,Dentatus,Statesmen and Warriors,24,126,150,61,https://en.wikipedia.org/wiki/Manius_Curius_Dentatus,,Italy,male,Unknown,Unknown
743,Des Cartes,case1,d.,1650,,,,,,54,1596,1650,M,Descartes,Mathematicians &cc Physicians,26,68,94,61,https://en.wikipedia.org/wiki/Ren%C3%A9_Descartes,,France,male,France,Europe
744,Deucalion,case8,d. af.,-1046,,,,,,,1001,1047,,Deucalion,Statesmen and Warriors,21,126,147,61,https://en.wikipedia.org/wiki/Deucalion,,,male,Unknown,Unknown
745,Dexippus,"case3
",,,,,fl.,-350,,,-373,-327,Ph,Dexipus,Mathematicians &cc Physicians,3,68,71,61,https://en.wikipedia.org/wiki/Dexippus_of_Cos,,Turky in Europe,male,Greece,Europe
746,Diaconus P.,case2,d.,801,,,,,,,756,801,H,Diaconus,Historians and Antiquaries Lawyers,13,0,13,61,https://en.wikipedia.org/wiki/Paul_the_Deacon,,Italy,male,Italy,Europe
747,Diagoras,"case3
",,,,,fl.,-412,,,-435,-389,HP,Diagoras,Divines and Metaphysicians &cc,19,98,117,61,https://en.wikipedia.org/wiki/Diagoras_of_Melos,,,male,Greece,Europe
748,Dicaearchus,"case3
",,,,,fl.,-310,,,-333,-287,HP,Dicaearchus,Divines and Metaphysicians &cc,21,98,119,61,https://en.wikipedia.org/wiki/Dicaearchus,,Italy,male,Italy,Europe
749,"Dictys, Cretensis",case13,,,,,fl. ab.,60,,,37,83,H,Dictys Cret,Historians and Antiquaries Lawyers,15,0,15,61,https://en.wikipedia.org/wiki/Dictys_Cretensis,,,male,Unknown,Unknown
750,Dido,"case3
",,,,,fl.,-883,,,-906,-860,,Dido,Statesmen and Warriors,20,126,146,61,https://en.wikipedia.org/wiki/Dido,,,missing from OpenRefine results,Lebanon,Asia
751,Didymus of Alex,case1,d.,395,,,,,,85,310,395,P,Didymus Al:,Divines and Metaphysicians &cc,23,98,121,62,https://en.wikipedia.org/wiki/Didymus_the_Blind,,Africa,missing from OpenRefine results,Egypt,Africa|Asia
752,Didymus of Scholiaft,"case3
",,,,,fl.,-40,,,-63,-17,Cr,Didymus,Orators and Critics &cc,9,22,31,62,https://en.wikipedia.org/wiki/Didymus_Chalcenterus,,Africa,male,Egypt,Africa|Asia
753,"Digby, Kenelm",case1,d.,1665,,,,,,62,1603,1665,M,K. Digby,Mathematicians &cc Physicians,17,68,85,62,https://en.wikipedia.org/wiki/Kenelm_Digby,,Great Britain,male,United Kingdom,Europe
754,Dinarchus,case2,d.,-294,,,,,,,-339,-294,Or,Dinarchus,Orators and Critics &cc,18,22,40,62,https://en.wikipedia.org/wiki/Dinarchus,,Turky in Europe,male,Greece,Europe
755,Dinocrates,"case3
",,,,,fl.,-300,,,-323,-277,Ar,Dinocrates,Artists Poets,25,42,67,62,https://en.wikipedia.org/wiki/Dinocrates,,Turky in Europe,male,Greece,Europe
756,Dinostratus,case13,,,,,fl. ab.,-370,,,-393,-347,M,Dinostratus,Mathematicians &cc Physicians,24,68,92,45,https://en.wikipedia.org/wiki/Dinostratus,,Turky in Europe,male,Greece,Europe
757,Dio Cassius,"case3
",,,,,fl.,229,,,206,252,H,Dio: Cassius,Historians and Antiquaries Lawyers,20,0,20,62,https://en.wikipedia.org/wiki/Cassius_Dio,,,missing from OpenRefine results,Turkey,Asia|Europe
758,Diocles,"case3
",,,,,fl.,-320,,,-343,-297,Ph,Diocles,Mathematicians &cc Physicians,7,68,75,62,https://en.wikipedia.org/wiki/Diocles_of_Carystus,,,male,Greece,Europe
759,Diocles,case13,,,,,fl. ab.,-150,,,-173,-127,M,Diocles,Mathematicians &cc Physicians,17,68,85,45,https://en.wikipedia.org/wiki/Diocles_of_Carystus,,,male,Greece,Europe
760,Dioclesian,case1,d.,313,,,,,,80,233,313,,Diocletian,Statesmen and Warriors,10,126,136,61,https://en.wikipedia.org/wiki/Diocletian,,,missing from OpenRefine results,Croatia,Europe
761,Diodorus,"case3
",,,,,fl.,-310,,,-333,-287,HP Meg,Diodorus,Divines and Metaphysicians &cc,26,98,124,62,https://en.wikipedia.org/wiki/Diodorus_Cronus,,,male,Turkey,Asia|Europe
762,Diodorus Siculus,"case3
",,,,,fl.,-44,,,-67,-21,H,Diodorus Sic:,Historians and Antiquaries Lawyers,18,0,18,62,https://en.wikipedia.org/wiki/Diodorus_Siculus,,Italy,missing from OpenRefine results,Italy,Europe
763,"Diodorus, Monachus","case3
",,,,,fl.,520,,,497,543,M,Diodorus M.,Mathematicians &cc Physicians,17,68,85,45,https://en.wikipedia.org/wiki/Diodorus_of_Tarsus,,Persia,male,Turkey,Asia|Europe
764,Diogenes,case1,d.,-324,,,,,,90,-414,-324,HP,Diogenes,Divines and Metaphysicians &cc,6,98,104,62,https://en.wikipedia.org/wiki/Diogenes,,,male,Turkey,Asia|Europe
765,Diogenes Bab.,"case3
",,,,,fl.,-200,,,-223,-177,HP Sto,Diogenes Bab:,Divines and Metaphysicians &cc,9,98,107,62,https://en.wikipedia.org/wiki/Diogenes_of_Babylon,,Persia,male,Seleucid Empire|Parthian Empire|Sasanian Empire,Asia|Asia|Asia|Africa
766,Diogenes Laertius,case2,d. ab.,122,,,,,,,77,122,H,D. Laertius,Historians and Antiquaries Lawyers,19,0,19,62,https://en.wikipedia.org/wiki/Diogenes_La%C3%ABrtius,,Italy,missing from OpenRefine results,Unknown,Unknown
767,Dion,case2,d.,-354,,,,,,,-399,-354,,Dion,Statesmen and Warriors,21,126,147,62,https://en.wikipedia.org/wiki/Dion_of_Syracuse,,Italy,male,Italy,Europe
768,Dion Prusaeus,"case3
",,,,,fl.,105,,,82,128,Cr,Dion Pruseus,Orators and Critics &cc,20,22,42,62,https://en.wikipedia.org/wiki/Dio_Chrysostom,,Turky,male,Turkey,Asia|Europe
769,Dionysius,case2,d.,265,,,,,,,220,265,F,Dionysius A.,Divines and Metaphysicians &cc,15,98,113,62,https://en.wikipedia.org/wiki/Pope_Dionysius_of_Alexandria,,Africa,male,Egypt,Africa|Asia
