UO_ID,NameInIndex,case,DeathPrecision,DeathDate,BornPrecision,BirthDate,Alive precision,AliveDate,LifeLength Precision,LifeLength,aproxBirthDate,aproxDeathDate,Index Category 1,NameOnChart,OnChartCategory,On Chart: Line #,Section starting Line,LineNumber,FullTextPageNum,WikiLink,Alternate Link,Region_final,Sex or gender V2,country,continent
30,Acropolita G.,case1,d.,1282,,,,,,62,1220,1282,H,G. Acropolita,Historians and Antiquaries Lawyers,14,0,14,41,https://en.wikipedia.org/wiki/George_Akropolites,,,missing from OpenRefine results,Byzantine Empire|Latin Empire|Ottoman Empire,Europe|Europe|Asia|Asia|Europe|Africa
31,Acusilaus,"case3
",,,,,fl.,-550,,,-573,-527,H,Acusilaus,Historians and Antiquaries Lawyers,20,0,20,41,https://en.wikipedia.org/wiki/Acusilaus,,Turky in Europe,male,Greece,Europe
32,Adado'dawla,case4,d.,98,,,,,ab.,47,51,98,,Adado'dawla,Statesmen and Warriors,6,126,132,41,https://en.wikipedia.org/wiki/%27Adud_al-Dawla,,Persia,male,Iran,Asia
33,"Adda, R.","case3
",,,,,fl.,298,,,275,321,M,R. Adda,Mathematicians &cc Physicians,24,68,92,32,https://en.wikipedia.org/wiki/Adda_bar_Ahavah,,,male,Unknown,Unknown
34,Addison,case1,d.,1719,,,,,,54,1665,1719,P,Addison,Artists Poets,6,42,48,41,https://en.wikipedia.org/wiki/Joseph_Addison,,Great Britain,male,United Kingdom,Europe
35,"Adelmus, Du","case3
",,,,,fl.,709,,,686,732,M,Adelmus D.,Mathematicians &cc Physicians,18,68,86,32,,https://books.google.com/books?id=I3hUAAAAYAAJ&pg=PP54&lpg=PP54&dq=du+adelmus+universal+history&source=bl&ots=kXJUeqAIn0&sig=ACfU3U1N5CDja-6IpoHyVNjfRBNW33Z-SQ&hl=en&sa=X&ved=2ahUKEwievYLo0MDnAhUCsZ4KHZgtD2oQ6AEwBHoECAYQAQ#v=onepage&q=du%20adelmus%20universal%20history&f=false,Germany,missing from OpenRefine results,Unknown,Unknown
36,Ado,case2,d.,874,,,,,,,829,874,H,Ado,Historians and Antiquaries Lawyers,14,0,14,41,https://en.wikipedia.org/wiki/Ado_of_Vienne,,France,male,France,Europe
37,Adrian,case1,d.,138,,,,,,72,66,138,,Adrian,Statesmen and Warriors,14,126,140,41,https://en.wikipedia.org/wiki/Hadrian,,Spain,male,Spain|Ancient Rome,Europe|Europe|Africa|Asia
38,Adrian 4th,case2,d.,1159,,,,,,,1114,1159,Po,Adrian 4th,Divines and Metaphysicians &cc,24,98,122,41,https://en.wikipedia.org/wiki/Pope_Adrian_IV,,Great Britain,male,United Kingdom,Europe
39,Aeacus,,,,,,,-980,,,,,,Aeacus,Statesmen and Warriors,22,126,148,-99,https://en.wikipedia.org/wiki/Aeacus,,Turky in Europe,male,Greece,Europe
40,Aegialeus,"case3
",,,,,fl.,-1080,,,-1103,-1057,,Aegialeus,Statesmen and Warriors,24,126,150,41,,https://en.wikipedia.org/wiki/Aegialeus_(King_of_Argos) or https://en.wikipedia.org/wiki/Aegialeus_(King_of_Sicyon),Turky in Europe,missing from OpenRefine results,Unknown,Unknown
41,Aegidius,"case3
",,,,,fl.,1150,,,1127,1173,P,Aegidius,Artists Poets,12,42,54,41,https://en.wikipedia.org/wiki/Giles_of_Viterbo,,Italy,male,Italy,Europe
42,Aelian,case6,d. ab.,140,,,,,,60,80,140,H,Aelian,Historians and Antiquaries Lawyers,13,0,13,41,https://en.wikipedia.org/wiki/Aelianus_Tacticus,,,male,Unknown,Unknown
43,Aemilian,case1,d.,254,,,,,,46,208,254,,Aemilian,Statesmen and Warriors,18,126,144,41,https://en.wikipedia.org/wiki/Aemilianus,,Africa,male,Tunisia,Africa
44,Aemilius,"case3
",,,,,fl.,-883,,,-906,-860,,,,,,0,41,https://en.wikipedia.org/wiki/Aemilius_Macer,,Italy,male,Italy,Europe
45,"Aemilius, P.",case2,d.,-160,,,,,,,-205,-160,,,,,,0,41,https://en.wikipedia.org/wiki/Lucius_Aemilius_Paullus_Macedonicus,,Italy,missing from OpenRefine results,Italy,Europe
46,Aeneas,"case3
",,,,,fl.,-883,,,-906,-860,,Aeneas,Statesmen and Warriors,21,126,147,41,https://en.wikipedia.org/wiki/Aeneas,,,male,Unknown,Unknown
47,Aeneas Gazaeus,"case3
",,,,,fl.,490,,,467,513,F,Aeneas Gaza,Divines and Metaphysicians &cc,13,98,111,41,https://en.wikipedia.org/wiki/Aeneas_of_Gaza,,,male,Palestinian National Authority,Asia
48,Aeneas Sylvius,case1,d.,1464,,,,,,58,1406,1464,Po,Aen: Sylvius,Divines and Metaphysicians &cc,24,98,122,41,https://en.wikipedia.org/wiki/Pope_Pius_II,,Italy,male,Italy,Europe
49,Aenotrus,,,,,,,-1025,,,,,,Aenotrus,Statesmen and Warriors,26,126,152,-99,https://en.wikipedia.org/wiki/Oenotrus,,Turky in Europe,male,Greece,Europe
50,Aeolus,"case3
",,,,,fl.,-1013,,,-1036,-990,,Aeolus,Statesmen and Warriors,14,126,140,41,https://en.wikipedia.org/wiki/Aeolus,,,,Unknown,Unknown
51,Aeschines,case8,d. af.,-330,,,,,,,285,331,Or,Aeschines,Orators and Critics &cc,13,22,35,41,https://en.wikipedia.org/wiki/Aeschines,,Turky in Europe,male,Greece,Europe
52,Aeschines,"case3
",,,,,fl.,-400,,,-423,-377,HP Soc,Aeschines,Divines and Metaphysicians &cc,17,98,115,41,https://en.wikipedia.org/wiki/Aeschines,,Turky in Europe,male,Greece,Europe
53,Aeschylus,case1,d.,-456,,,,,,69,-525,-456,P,Aeschylus,Artists Poets,10,42,52,41,https://en.wikipedia.org/wiki/Aeschylus,,,missing from OpenRefine results,Greece,Europe
54,Aesculapius,case2,d.,-927,,,,,,,-972,-927,Ph,Aesculapius,Mathematicians &cc Physicians,4,68,72,41,https://en.wikipedia.org/wiki/Asclepius,,,male,Unknown,Unknown
55,Aesop,case2,d. ab.,-561,,,,,,,-606,-561,HP,Aesop,Divines and Metaphysicians &cc,11,98,109,42,https://en.wikipedia.org/wiki/Aesop,,,missing from OpenRefine results,Bulgaria,Europe
56,Aesopus,"case3
",,,,,fl.,-50,,,-73,-27,Act,Aesopus,Artists Poets,21,42,63,42,https://en.wikipedia.org/wiki/Clodius_Aesopus,,,male,Unknown,Unknown
57,Aetius,case2,d.,454,,,,,,,409,454,,Aetius,Statesmen and Warriors,12,126,138,42,https://en.wikipedia.org/wiki/Flavius_Aetius,,Turky in Europe,male,Bulgaria,Europe
58,Aetius Amidenus,"case3
",,,,,fl.,500,,,477,523,Ph,,,,,0,42,https://en.wikipedia.org/wiki/A%C3%ABtius_of_Amida,,,male,Turkey,Asia|Europe
59,Aetolus,,,,,,,-1000,,,,,,Aetolus,Statesmen and Warriors,27,126,153,-99,https://en.wikipedia.org/wiki/Endymion_(mythology),,,male,Unknown,Unknown
60,Afer Domitius,case2,d. ab.,60,,,,,,,15,60,Cr,Afer Dom:,Orators and Critics &cc,13,22,35,42,https://en.wikipedia.org/wiki/Domitius_Afer,,France,male,Ancient Rome,Europe|Africa|Asia
61,Afranius,"case3
",,,,,fl.,-100,,,-123,-77,P,Afranius,Artists Poets,1,42,43,42,https://en.wikipedia.org/wiki/Lucius_Afranius_(poet),,Italy,male,Unknown,Unknown
62,Africanus Julius,case2,d. ab.,232,,,,,,,187,232,H,J. Africanus,Historians and Antiquaries Lawyers,16,0,16,42,https://en.wikipedia.org/wiki/Sextus_Julius_Africanus,,Turky in Asia,male,Israel,Asia
63,Agamemnon,case8,d. af.,-904,,,,,,,859,905,,Agamemnon,Statesmen and Warriors,24,126,150,42,https://en.wikipedia.org/wiki/Agamemnon,,,male,Unknown,Unknown
64,Agathemer,case13,,,,,fl. ab.,200,,,177,223,Geo,Agathemer,Historians and Antiquaries Lawyers,11,0,11,42,https://en.wikipedia.org/wiki/Agathemerus,,Africa,male,Egypt,Africa|Asia
65,Agathias,"case3
",,,,,fl.,565,,,542,588,H,Agathias,Historians and Antiquaries Lawyers,18,0,18,42,https://en.wikipedia.org/wiki/Agathias,,,missing from OpenRefine results,Greece,Europe
66,Agathocles,case1,d.,-289,,,,,,72,-361,-289,,Agathocles,Statesmen and Warriors,19,126,145,42,https://en.wikipedia.org/wiki/Agathocles_of_Syracuse,,Italy,male,Italy,Europe
67,Agesilaus,case1,d.,-361,,,,,,84,-445,-361,,Agesilaus,Statesmen and Warriors,7,126,133,42,https://en.wikipedia.org/wiki/Agesilaus_II,,Turky in Europe,male,Greece,Europe
68,Agiluf the Goth,case2,d.,616,,,,,,,571,616,,Agiluf,Statesmen and Warriors,15,126,141,42,https://en.wikipedia.org/wiki/Agilulf,,,male,Unknown,Unknown
69,Agis,case4,d.,-241,,,,,ab.,22,219,241,,Agis,Statesmen and Warriors,9,126,135,42,https://en.wikipedia.org/wiki/Agis_IV,,Turky in Europe,male,Greece,Europe
70,Agobard,case1,d.,840,,,,,,60,780,840,D,Agobard,Divines and Metaphysicians &cc,16,98,114,42,https://en.wikipedia.org/wiki/Agobard,,Spain,male,Spain,Europe
71,Agricola,case1,d.,93,,,,,,56,37,93,,Agricola,Statesmen and Warriors,9,126,135,42,https://en.wikipedia.org/wiki/Gnaeus_Julius_Agricola,,France,male,France,Europe
72,Agricola George,case1,d.,1555,,,,,,61,1494,1555,M,G. Agricola,Mathematicians &cc Physicians,10,68,78,42,https://en.wikipedia.org/wiki/Georgius_Agricola,,Germany,male,Germany,Europe
73,Agricola Rodolphus,case1,d.,1485,,,,,,43,1442,1485,Cr,Agricola R.,Orators and Critics &cc,19,22,41,42,https://en.wikipedia.org/wiki/Rodolphus_Agricola,,France,male,Netherlands,Europe|Central America
74,Agrippa,case1,d.,64,,,,,,54,10,64,,Agrippa,Statesmen and Warriors,3,126,129,42,https://en.wikipedia.org/wiki/Herod_Agrippa,,,male,Unknown,Unknown
75,Agrippa Byth,"case3
",,,,,fl.,90,,,67,113,M,Agrippa By:,Mathematicians &cc Physicians,16,68,84,42,https://en.wikipedia.org/wiki/Agrippa_(astronomer),,,male,Unknown,Unknown
76,Agrippa Cornelius,case1,d.,1534,,,,,,48,1486,1534,M,C. Agrippa,Mathematicians &cc Physicians,21,68,89,42,https://en.wikipedia.org/wiki/Heinrich_Cornelius_Agrippa,,Germany,male,Germany,Europe
77,Agrippa Vipsenius,case1,d.,-12,,,,,,51,-63,-12,,V. Agrippa,Statesmen and Warriors,20,126,146,42,https://en.wikipedia.org/wiki/Marcus_Vipsanius_Agrippa,,,male,Italy|Croatia|Slovenia,Europe|Europe|Europe
78,Agrippina Junior,case2,d.,59,,,,,,,14,59,,Agrippina,Statesmen and Warriors,22,126,148,42,https://en.wikipedia.org/wiki/Agrippina_the_Younger,,Germany,female,Germany,Europe
79,Ahab,case2,d.,-897,,,,,,,-942,-897,,Ahab,Statesmen and Warriors,13,126,139,42,https://en.wikipedia.org/wiki/Ahab,,,missing from OpenRefine results,Unknown,Unknown
80,Ahaz,case2,d.,-726,,,,,,,-771,-726,,Ahaz,Statesmen and Warriors,13,126,139,42,https://en.wikipedia.org/wiki/Ahaz,,Turky in Asia,missing from OpenRefine results,Unknown,Unknown
81,Ahmed,case2,d.,883,,,,,,,838,883,,Ahmed,Statesmen and Warriors,4,126,130,42,https://en.wikipedia.org/wiki/Ahmad_ibn_Tulun,,Persia,male,Iraq,Asia
82,Aidan,case2,d.,651,,,,,,,606,651,D,Aidan,Divines and Metaphysicians &cc,25,98,123,42,https://en.wikipedia.org/wiki/Aidan_of_Lindisfarne,,Great Britain,male,Ireland,Europe
83,Ailli,case1,d.,1420,,,,,,70,1350,1420,D,Ailli,Divines and Metaphysicians &cc,5,98,103,42,https://en.wikipedia.org/wiki/Pierre_d%27Ailly,,France,male,France,Europe
84,Ailred,case1,d.,1166,,,,1166,,57,1109,1166,H,Ailred,Historians and Antiquaries Lawyers,18,0,18,34,https://en.wikipedia.org/wiki/Aelred_of_Rievaulx,,Great Britain,male,United Kingdom,Europe
85,Aimoin,case2,d.,1008,,,,,,,963,1008,H,Aimoin,Historians and Antiquaries Lawyers,20,0,20,42,https://en.wikipedia.org/wiki/Aimoin,,France,male,France|France,Europe|Europe
86,Akbar,case1,d.,1605,,,,,,63,1542,1605,,Akbar,Statesmen and Warriors,2,126,128,42,https://en.wikipedia.org/wiki/Akbar,,India,missing from OpenRefine results,Pakistan,Asia
87,Akenside,case2,d.,1770,,,,,,,1725,1770,P,Akinside,Artists Poets,3,42,45,34,https://en.wikipedia.org/wiki/Mark_Akenside,,Great Britain,male,United Kingdom,Europe
88,Akiba,"case3
",,,,,fl.,130,,,107,153,J,Akiba,Divines and Metaphysicians &cc,4,98,102,42,https://en.wikipedia.org/wiki/Rabbi_Akiva,,,male,Unknown,Unknown
89,Al Kamel,case1,d.,1237,,,,,,69,1168,1237,,Al Kamel,Statesmen and Warriors,3,126,129,44,https://en.wikipedia.org/wiki/Al-Kamil,,Africa,male,Egypt,Africa|Asia
