INDEX MATCH?,P MATCH?,WIKI MATCH?,AUTH MATCH?,UO ID?,INDEX MATCH?,P MATCH?,WIKI MATCH?,AUTH MATCH?,UO ID?,Preistley Name,Priestley BORN,Priestley DIED,WATKINS_ID,NAME,SHORT NAME,BIO,SOURCE,BORN,DIED,ALIVE,,,,,,,,,,,,,,,,,,
Abas,Abas,,Abas,2,Abas,Abas,,Abas,2,Abas,-1093,-1047,20,Abas (Schah),Abas,"The Great, 7th king of Persia, ascended the throne in 1585. With the assistance of the English, in 1692, he took Ormus from the Portuguese. He died in 1629. He was the first who made Ispahan the capital of Persia.",Mod. Un. Hist.,,1629,1585,,,,,,,,,,,,,,,,,,
Abas,Abas,,Abas,2,Abas,Abas,,Abas,2,Abas,-1093,-1047,21,Abas (Schah),Abas,"Great-grandson of the preceding, began to reign in 1642. He was a tolerant prince, being used to say, ""that God alone was lord of men's consciences;"" and that ""it was his duty to watch over the government of his country, and to administer justice with impartiality to all his subjects of every persuasion."" He died in 1666, aged 37.",Ibid.,,1666,1642,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,22,Abasson,Abasson,"An impostor, who pretended to be the grandson of Abas the Great, king of Persia. On visiting Constantinople, he was taken notice of by the grand seignior, but being discovered, was beheaded.",Gen. Biog. Diet.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,23,Abate (Andrea),Abate,"A painter of fruit and Still life, was born at Naples, and employ-r ed by the king of Spain. He died in 1732.",Pilkington.,,1732,1732,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,24,Abauzit (Firmin),Abauzit,"Born at Usez in 1679. His father dying when he was. an 6 infant, his mother sent him to Geneva, to prevent his being brought up in the Romish persuasion. For this she was confined in the castle of Somieres ; and did not arrive at Geneva till two years after her son. She gave him an excellent education, which he repaid by his improvement. Having finished his studies, he went to Holland and England, and in the latter country formed an intimacy with sir Isaac Newton. King William wished him to settle here, but filial affection recalled him to Geneva, where in 1726 he was admitted a citizen, and appointed librarian. In 17S0 he published an improved edition of Spon's History of Geneva. He died in 1767. His writings in defence of Christianity are very valuable.",Sennebiers Hist,,1767,1679,", oj Geneva.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,25,Abbadie (James),Abbadie,"An eminent divine, was born at Nay, in Bearn, in 1658. He took the degree of D.D. at Sedan, and was afterwards made minister of the French church at Berlin. In 1688, he accompanied mareschal Schomberg to England with the prince of Orange, and was with that great man when he fell at the battle of the Boyne. On his return to London, he was appointed minister of the French church in the Savoy; and not long after promoted to the deanry of KillalOe, in Ireland. He died in London, in 1727. His chief work is a ""Treatise of the Truth of the Christian Religion,"" 1684.",Biog. Brit.,,,1658,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,26,Abbas (Halli) or Magus,Abbas,"Being one of the magi, a Persian physical author, who flourished in the 10th century. A treatise of his, entitled "" The Royal Work,"" is still extant.",D'Herbelot.,,,10th century,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,27,Abbas,Abbas,"Son of Abdalmothleb, uncle of Mohammed, was at first an enemy to that impostor, but being taken prisoner by him, he altered his sentiments, and became a zealous Mussulman. He died in 653; and a century after his death, his grandson Abulabbas, surnamed Saflfah, was chosen caliph, in whom began the dynasty of the Abbassides, who enjoyed that dignity 524 years.",D' Herbelot.,,653,653,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,28,Abbassa,Abbassa,"Sister of the caliph Haroun al Raschid, by whom she was married to Giafar, his vizier, on condition that they should never cohabit together ; but having broken the contract, the caliph put Giafar to death, and turned his wife out of the palace. There are extant some Arabic verses by her, on the subject of her love for Giafar.",D'Herbelot.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,29,Abbiati (Filippo),Abbiati,"An historical painter, was born at Milan, in 1640, and died in 1715.",Pi Ik.,,1715,1640,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,30,Abbon,Abbon,"A Norman monk, who wrote an account of the siege of Paris by the Normans, at the end of the 9th century, in Latin verse.",Moreri.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,31,Abbon (de Fleury),Abbon,"A learned Frenchman of the 11th century. He became abbot of the monastery of Fleury. King Robert sent him to Rome to avert the wrath of Gregory V., who threatened to lay the kingdom under an interdict, and Abbon obtained all that he asked. He was killed in a quarrel between the French and the Gascons, 1004. His letters were printed in 1687, folio.",Moreri.,,,11th century,,,,,,,,,,,,,,,,,,
Abbot,Abbot,,,6,Abbot,Abbot,,,6,Abbot,1562,1633,32,Abbot (George),Abbot,"An English prelate, was born in 1562, at Guilford, in Surry, where his father was a weaver. He was educated at the grammar school of that place, from whence he was removed to Baliol college, Oxford, of which he became a fellow. In 1597, he was chosen master of University college. In 1599, he was made dean of Winchester, and the year following vicechancellor of Oxford, which office he filled in 1603, and also in 1605. He was One of the divines employed in the present translation of the Bible. In 1609, he was made bishop of Lichfield and Coventry, from whence, the same year, he was translated to London, and in 1610, to Canterbury. He had the courage to oppose the court on some occasions, particularly in the affair of the divorce of the lady Essex, and the Book of Sports, which he forbade being read at Crovdon. A sad misfortune happened to him at the close of his life: for being at the seat of lord Zouch, and exercising himself in the park with a cross bow, he by accident shot the keeper instead of the deer. A commission was appointed to examine whether by this irregularity he was incapacitated for discharging the office of primate; and the determination being left with the king, he gave it in favour of the archbishop. He ever after kept a monthly fast on account of the misfortune, and settled 20l. a year on the widow of the keeper. He attended king James on his death-bed, and assisted at the coronation of Charles I. In 1627, an assize sermon of Dr. Sibthorpe, preached at Northampton, was sent to the archbishop, with an order from the king to license it; which he refused to do, as it contained exceptionable passages. For this he was banished to his house near Canterbury, and the archlepiscopal authority was put into commission; but when the parliament met, he was restored to his office, but never fully recovered the royal favour. He died at Croydon in 1633, and was buried in the church of the Holy Trinity at Guilford, where he endowed an hospital. The archbishop was a rigid Calvinist and a great favourer of the Puritans. His writings are mostly polemical, except a geographical description of the world.",Biog. Brit.,1562,,1562,,,,,,,,,,,,,,,,,,
Abbot,Abbot,,,6,Abbot,Abbot,,,6,Abbot,1562,1633,33,Abbot (Robert),Abbot,"Eldest brother of the archbishop, was born at Guilford, in 1560, and educated at the same school and college with him. King James appointed him one pf his chaplains in ordinary, and was so pleased with his book "" De Antichristo,"" that he ordered it to be reprinted with his own on the Revelations. In 1609, he was ejected master of Baliol college, and the following the king uortiinated Jym to a fellowship â€˜n his college at Chelsea, founded for the a icouragement of polemical divinity. In 1612, he was made regius professor of divinity at Oxford, where he vindicated the supremacy of kings against Bellarmine and Suarez, for which he was advanced to the see of Salisbury in 1615. He died in 1617, and his remains were interred in Salisbury cathedral.",Biog. Brit.,,1617,1560,,,,,,,,,,,,,,,,,,
Abbot,Abbot,,,6,Abbot,Abbot,,,6,Abbot,1562,1633,34,Abbot (Maurice),Abbot,"Brother of the above, was bred a merchant, and became a director of the East-India Company. He was appointed, in 1618, a commissioner in the treaty made with the Dutch concerning the trade to the Molucca islands. In 1623, he was one of the farmers of the customs, and the next year one of the council for settling Virginia. He was the first person knighted by Charles I.; and in 1625, was chosen one of the representatives for the city of London, of which, in 1638, he was lord mayor. He died in 1640.",Ibid. â€¢,,1640,1618,,,,,,,,,,,,,,,,,,
Abbot,Abbot,,,6,Abbot,Abbot,,,6,Abbot,1562,1633,35,Abbot (George),Abbot,"Son of sir Maurice, was born in 1600, elected probationer fellow of Merton college 1625, and admitted to the degree of LL.B. in 1630. He was the author of, 1. ""The book of Job paraphrased, 1640."" 2. VindiciÂ® Sabbati, 1641."" 3. ""Notes on the Book of Psalms, 1651."" He died in 1648.",Ibid.,1600,1648,1600,,,,,,,,,,,,,,,,,,
Abbot,Abbot,,,6,Abbot,Abbot,,,6,Abbot,1562,1633,36,Abbot (Thomas),Abbot,"A German writer, was born at Ulm, in 1738: He translated Sallust into German, and wrote two treatises, one ""Concerning Merit,â€<9d> and the other ""Of dying for one's Country.â€<9d> He died in 1766",Gen. Biog.,,1766,1738,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,37,Abdalla,Abdalla,"Father of Mohammed. KÂ® was only a camel-driver, but the Mussulmans boast that he was offered the finestwomen of his tribe, when he was fourscore years old ; and that on his wedding night, a hundred girls died of grief, for having lost the honour of being his bride.",D'Her~ helot,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,38,Abuallah-ebn-zobeir,Abuallah-ebn-zobeir,"an Arabian chief, who seized the caliphate, in 680, ai gainst the claim of Yezid, the son of Moawijah, and enjoyed the dignity nine years. He fell bravely fighting' in the defence of Mecca, in the 72d year of his age.",Ibid.,,,680,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,39,ABDALLAH-EBN-ALI,ABDALLAH-EBN-ALI,"Tbe Uncle of the two first caliphs of the Abbassides, under whom he served as a general against the ealiph. Merwan, and having vanquished that prince, proclaimed his nephew. He was guilty of horrible cruelties on the family of the Dmmiades. When his eldest nephew died, his brother Almanzor assumed the government, which so displeased Abdallah that he raised an army against him, but was defeated. He was put to death A. D. 754,",,,,754,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,40,Abdalmelek,Abdalmelek,"Fifth caliph of the race of the Ommiades, commenced his reign A. D, 684. He extended his conquests into India and Spain, and conquered Mecca. Hq reigned twenty-one years, andwas succeed* ed by his eldest son Valid. He was bo E2 nerous as not to take a church- from the Christians, which they had refused to grant him when he requested it.",D' Herbelot,,,684,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,41,Ah dali! ahman,Ahdali! ahman,"a Saracen general, and governor of Spain in the 8th century, who, after ravaging France with fire and sword, was attacked at Tours by Charles Martel, and slain, in 782.",Mod. U. H.,,,782,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,42,A ii dai. rahman,Aiidai. rahman,Albuhassin,Ibid.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,43,Abo as,Aboas,"A Persian bishop in the time of the younger Theodosius, who indiscreetly brought upon the Christians a violent persecution, and was the first that fell, in it. The clergy called in Theodosius to their aid, by whom the Persians were worsted ; but the persecution raged forty years.",Boyle.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,44,Abdolonymus,Abdolonymus,"King of Sidon. When Alexander conquered that country, he allowed Hephcstion to dispose of the crown. Hephestion offered it to three brothers, who all refused it ; and being requested to point out a proper person, they fixed on Abdolonymus, who was of the blood royal, though only a gardener. Being brought to Alexander, the conqueror, observing the dignity of his aspect, said to his courtiers, ""I wish to know how he bore his poverty."" Abdolonymus hearing this, said, ""Would to heaven I may .'bear my prosperity as well!"" This answer so pleased Alexander $hat he confirmed the appointment.",Dim/. Sic. Plutarch.,,,,,,,,,,,,,,,,,,,,,
