NameInIndex,UO_ID,Bio Name,BioSource,Biography,Citation,Region_final,Sex or gender V2,case,VisualCase,IndexLifeCode,DeathPrecision,DeathDate,BornPrecision,BirthDate,Alive precision,AliveDate,LifeLength Precision,LifeLength,aproxBirthDate,aproxDeathDate,Index Category 1,NameOnChart,OnChartCategory,On Chart: Line #,Section starting Line,LineNumber,FullTextPageNum,WikiLink
"Breton, John",442.0,Britton,Crabb,"The name of a writer of whom nothing is known except by a work on the ancient Pleas of the Crown, which is a concise abridgment of law; and being a compendium of Bracton, it is supposed by Selden that the name is only a corruption of Bracton. This book was first printed in Latin, in 12mo. without date by R. Rednman; and again in French, by Wingate, in 1640; and a third time in English, by R. Kelham, esq. 8vo. 1762.",,,male,case13,B,fl. ab.,,,,,fl. ab.,1310.0,,,1280.0,1325.0,L,Breton,Historians and Antiquaries Lawyers,1.0,0.0,1,52.0,https://en.wikipedia.org/wiki/John_de_Breton
Briggs,443.0,Briggs (Henry),Watkins,"An English mathematician, was born at Halifax in Yorkshire, in 1556, and educated at St. John's college, Cambridge, where he was elected fellow in 1588. In 1596 he was appointed Gresham professor of geometry, which he resigned in 1615, on being made Savilian professor at Oxford. He died there in 1680. He was the first improver of logarithms after the original inventor, whom he visited in Scotland, and he published in 1624 a work of stupendous labour, entitled, Arithmetica Logarithmice, containing logarithms of 30,000 natural numbers. He also wrote some other valuable books on mathematical subjects.",,Great Britain,male,case4,H,d. (LL) ab.,d.,1630.0,,,,,ab.,74.0,1556.0,1630.0,M,Briggs,Mathematicians &cc Physicians,29.0,69.0,98,52.0,https://en.wikipedia.org/wiki/Henry_Briggs_(mathematician)
Brissonius,444.0,Brissom (Barnabas),Watkins,"President of ths parliament of Paris, was born at Fontenay in Poitou, and attained considerable eminence. Henry III. employed him in several embassies. He was put to death by the leaguers in 1591. He wrote some learned works on Jurisprudence.",Moreri,France,male,case2,D,d.,d.,1591.0,,,,,,,1546.0,1591.0,L,Brissonius,Historians and Antiquaries Lawyers,2.0,0.0,2,52.0,https://en.wikipedia.org/wiki/Barnab%C3%A9_Brisson
Britannicus,445.0,Britannicus,Watkins,"Son of the emperor Claudius and Messalina. He was excluded from the empire by the artifices of Agrippina, second wife of Claudius, and mother of Nero, who, caused Britannicus to be poisoned A. D. 55.",,Italy,male,case2,D,d.,d.,55.0,,,,,,,10.0,55.0,,Britannicus,Statesmen and Warriors,6.0,127.0,133,53.0,https://en.wikipedia.org/wiki/Britannicus
Brito,446.0,,,,,France,male,case3,A,fl.,,,,,fl.,1224.0,,,1194.0,1239.0,P,Brito,Artists Poets,8.0,43.0,51,53.0,https://la.wikipedia.org/wiki/Guillelmus_Brito
Bruneleschi Philippo,447.0,Brunelleschi (Philip),Watkins,"An Italian architect, was born at Florence in 1377. He was at first a goldsmith and clockmaker, after which he applied to the study of perspective and architecture, in which he made a surprising progress. He erected the dome of the cathedral at Florence, which Michael Angelo has pronounced a work of uncommon beauty. He was pacronized by the Medici family, for whom he built some magnificent structures. Brunelleschi was also skilled in military architecture, and an excellent engineer. He died in 1445. Some of his verses have been printed with those of Burchiello.",,Italy,male,case3,A,fl.,,,,,fl.,1500.0,,,1470.0,1515.0,Pa,Bruneleschi,Artists Poets,6.0,43.0,49,53.0,https://en.wikipedia.org/wiki/Filippo_Brunelleschi
Bruno Coloniensis,448.0,Bruno,Watkins,"A saint of the Roman calendar, and founder of the monastery of the Chartreuse. He was born at Cologne in 1060, and adopted the solitary life in 1084. Pope Urban II. sent for him that he might profit by his advice. Afterwards he went to Calabria, where he established a monastery, and died in 1101.","Dupin, Moreri",Germany,male,case2,D,d.,d.,1101.0,,,,,,,1056.0,1101.0,D,Bruno C.,Divines and Metaphysicians &cc,17.0,99.0,116,53.0,https://en.wikipedia.org/wiki/Bruno_of_Cologne
Bruno Insuber,449.0,,,,,Italy,male,case2,D,d.,d.,1125.0,,,,,,,1080.0,1125.0,D,Bruno Ins,Divines and Metaphysicians &cc,21.0,99.0,120,53.0,https://en.wikipedia.org/wiki/Bruno_(bishop_of_Segni)
Bruno Jordano,450.0,Bruno (Giordano),Watkins,"A dominican monk in the 16th century, was born at Nola in the kingdom of Naples. By reading religious books he became dissatisfied with the Roman church, and fled to Geneva in 1502; but disliking the intolerant spirit of Calvin and Beza, he went to Paris, where he attracted notice by attacking the Aristotelian philosophy. He next visited England, and formed an acquaintance with sir Fulk Greville and sir Philip Sidney, In 1589 he was at Helmstadt, where he pronounced a funeral oration on the duke of Brunswick. He afterwards imprudently ventured into Italy, and was arrested at Venice, fiom whence he was removed to Rome, where, after two years imprisonment, he was burnt in 1600. He was a man of talents, positive, vain, and singularly obscure in his ideas. This has given occasion to call him an atheist, because he opposed in a perplexed style the philosophy of the schools, it must be allowed, however, that if he was not an atheist, he had little or no regard to religion, as appears from his celebrated book, Spaccio de la Bestial Triomphante, (the Demolition of the Triumphant Beast). He was also the author of an Italian comedy called il Candelajo, and of some Latin poetry.",Bayle,Italy,male,case2,D,d.,d.,1600.0,,,,,,,1555.0,1600.0,D,Bruno,Divines and Metaphysicians &cc,13.0,99.0,112,53.0,https://en.wikipedia.org/wiki/Giordano_Bruno
Brutus Junius,451.0,Brutus (Lucius Junius),Watkins,"A celebrated Roman. He was the son of Marcus Junius, by a daughter of Tarquin the elder. When his father and brothers were beheaded by Tarquin, Brutus pretended to be an idiot, which saved his life. He continued this appearance till the death of Lucretia afforded him an opportunity of rousing the Roman people to action, and of shewing the energy of his mind By his exertion the Tarquins were expelled, and the monarchy gave way to a republic. The consulship was then instituted, when Brutus and Collatinus, the husband of Lucretia, were chosen the first to hold that dignity. The same year he was slain at the head of his troops fighting against one of the sons of Tarquin, who also fell upon the field. This happened B.C. 509.",,Italy,male,case2,D,d.,d.,-509.0,,,,,,,-554.0,-509.0,,J. Brutus,Statesmen and Warriors,24.0,127.0,151,53.0,https://en.wikipedia.org/wiki/Lucius_Junius_Brutus
Brutus Marcus,452.0,Brutus (Marcus Junius),Watkins,"Was the son of Junius Brutus by a sister of Cato. The precepts and examples of his uncle inspired him with the loftiest sentiments of liberty and he resolved on the destruction of Caesar, as a tyrant who had enslaved his country. This design he carried into execution, March 15, 43 B. C. though that great man was one of his best friends. Brutus put an end to himself at the second battle of Philippi, after performing prodigies of valour.",,Italy,male,case1,C,d. (LL),d.,-42.0,,,,,,43.0,-85.0,-42.0,,Brutus,Statesmen and Warriors,11.0,127.0,138,53.0,https://en.wikipedia.org/wiki/Brutus_the_Younger
Bucer,453.0,Bucer (Martin),Watkins,"One of the reformers, was born in Alsace in 1491, and took the habit of St. Dominic, but the writings of Erasmus and Luther gave him a dislike to popery, and he became a zealous protestant. At first he united with Luther, but afterwards he inclined to Zuinglius, though he laboured much to bring the two parties to a union. He came to England in 1549, and was made divinity professor at Cambridge, where he died in 1551. In the reign of Mary, his body was taken up and burnt. Bucer was twice married: by his first wife, who had been a nun, he had 13 children. His writings are very numerous.",Bayle,France,male,case1,C,d. (LL),d.,1551.0,,,,,,66.0,1485.0,1551.0,D,Bucer,Divines and Metaphysicians &cc,6.0,99.0,105,53.0,https://en.wikipedia.org/wiki/Martin_Bucer
Buchanan,454.0,Buchanan (George),Watkins,"An eminent writer, was born in Dumbartonshire in Scotland, in 1506; educated first at St. Andrew's, and then at Paris, where he embraced the doctrines of the reformation. James V. employed him as a tutor to his natural son, the earl of Moray; and at the same king's command he attacked the franciscans in a satirical poem, for which his life being threatened he fled to England, and thence to France, where he wrote four tragedies in latin. He next went to Portugal, and became a teacher of philosophy in the university of Coimbra, but expressing some free opinions, he was confined in a monastery, in which he translated David's Psalm into Latin. In 1551 he obtained his liberty, and after residing some time in France and England, returned to his native country, where he was appointed principal of the college of St. Leonard in the university of St. Andrew's. This favour he obtained from queen Mary, which he ill requited by writing a book called a Detection of her Doings, designed to prejudice the minds of her subjects against her. He was nominated tutor to James VI. and being afterwards reproached with making him a pedant, he replied, that, ""it was the best he could make of him."" He died at Edinburgh in 1582. Besides what is above mentioned he wrote Latin poems, some of which are beautiful. His History of Scotland is also elegantly written, but is not faithful. In his famous treatise De Jure Regni apud Scotos, he defends the princicles of democracy and republicanism. His works were printed together at Edinburgh, 2 vols. folio, 1714.",,Great Britain,male,case1,C,d. (LL),d.,1582.0,,,,,,76.0,1506.0,1582.0,H,Buchanan,Historians and Antiquaries Lawyers,11.0,0.0,11,53.0,https://en.wikipedia.org/wiki/George_Buchanan
Buckingham,455.0,Villiers (George),Watkins,"Duke of Buckingham, was born at Brookesby in Leiceftershire, in 1592. After receiving a scanty education, he was introduced at the court of James I. who was struck with his fine person, and made him his cup-bearer. The king also condescended to be his school-master, appointed him gentleman of the bedchamber, and knight of the garter. Honours and places were heaped on the favourite in rapid succession; he was advanced to the dignity of duke, made lord high admiral, master of the horse, and had the disposal of all places in church and state. He kept the same footing in the favour of Charles I. whom, when prince of Wales, he accompanied to Spain, to negociate a marriage with the infanta. But the people and parliament were discontented; votes and remonstrances were passed againft the duke, who caused the parliament to be dissolved, and the supplies to be raised for the king's service by illegal measures. War breaking out with France, the duke took the command of the expedition fitted out for the relief of Rochelle, instead of which he made a descent on the ille of Rhe and lost the principal part of his forces. A new expedition was formed, but while the duke was at Portsmouth, and about to embark he was stabbed by a discontented lieutenant named Felton, Aug. 23, 1628.",,Great Britain,male,case1,C,d. (LL),d.,1628.0,,,,,,36.0,1592.0,1628.0,,Buckingham,Statesmen and Warriors,18.0,127.0,145,53.0,"https://en.wikipedia.org/wiki/George_Villiers,_1st_Duke_of_Buckingham"
Budeus,456.0,"Budaeus (William), or Bude",Watkins,"A learned Frenchman, was born at Paris in 1467, and had every advantage of education, but he dissipated his youth in idleness and extravagance. At length he suddenly took another turn, abandoned his gay pursuits, and devoted himself to study. The king sent him ambassador to Rome, and at his request founded the royal college of France; He died in 1540. His works were printed at Basil, in 4 vols. folio, 1557. Erasmus was his frequent correspondent, but they appear to have been jealous of each other's abilities.",,France,male,case1,C,d. (LL),d.,1540.0,,,,,,73.0,1467.0,1540.0,Cr,Budeus,Orators and Critics &cc,4.0,22.0,26,53.0,https://en.wikipedia.org/wiki/Guillaume_Bud%C3%A9
Bullinger,457.0,Bullinger (Henry),Watkins,"One of the reformers, was born at Zurich in 1504, and educated at Cologne. He intended to turn monk, but the writings of Melancthon altered his, resolution, and he became a protestant. In 1529 he undertook the pastorship of the reformed church in his native place, and about the same time entered into the matrimonial state. Being driven from thence by the papists, he retired with his family to Zurich, where he was chosen to succeed Zuinglius. He died there in 1575. His works are numerous, and were once held in high estimation.",Bayle,Switzerland,male,case1,C,d. (LL),d.,1575.0,,,,,,71.0,1504.0,1575.0,D,Bullinger,Divines and Metaphysicians &cc,2.0,99.0,101,39.0,https://en.wikipedia.org/wiki/Heinrich_Bullinger
Bupalus,458.0,Bupalus,Watkins,"A famous sculptor of antiquity, was a native of the isle of Chios, and flourished B. C. 540. He and his brother Athenis are said to have carved a statue exactly resembling Hipponax, a meagre poet; and the bard, by way of revenge, wrote so keen a satire against them, that out of vexation they hanged themselves.",,,,case3,A,fl.,,,,,fl.,-540.0,,,-570.0,-525.0,St,Bupalus,Artists Poets,24.0,43.0,67,53.0,
Burchardus,459.0,Burchard,Watkins,"Bishop of Worms in the 11th century, was tutor to the emperor Conrad, who made him a bishop in 1008. He compiled a collection of canons, called decrees, printed at Cologne in 1548. He died in 1026.",Moreri,Germany,male,case3,A,fl.,,,,,fl.,996.0,,,966.0,1011.0,L,Burchardus,Historians and Antiquaries Lawyers,3.0,0.0,3,53.0,https://en.wikipedia.org/wiki/Burchard_of_Worms
Burleigh,460.0,Cecil (William),Watkins,"Lord Burleigh, a celebrated statesman, was the son of Richard Cecil, master of the robes to Henry VIII. and born at Bourn in Lancashire in 1521. He was educated at St. John's college, Cambridge, from whence he removed to Gray's inn. He married a sister of sir John Cheke, who introduced him to the duke of Somerset, by whom he was appointed master of requests, and secretary of state. He also received the honour of knighthood, and had a seat in the privy council. When Mary came to the throne he was dismissed from his employments; but he was respected, and often consulted, by the queen and her ministers. At the accession of Elizabeth he was appointed privy counsellor, secretary of state, and master of the court of wards. Soon afterwards he was chosen chancellor of Cambridge; and in 1571 advanced to the peerage. He died in 1598 having two sons. He was an acute, steady minister, well acquainted with mankind, indefatigable in business, correct in his private deportment, of unimpeachable integrity; and so disinterested, that though he held the office of high treasurer 27 years,  he left but a moderate estate to his family. He wrote some tracts in answer to libels on the queen and government; and his state papers were published by Haynes in 1740; and a continuation by Murdin in 1700. His second wife was the daughter of sir Anthony Cook. She was well acquainted with the Greek and Latin languages, and wrote a letter in the former to the university of Cambridge, where she founded an exhibition for two poor scholars. She also distinguished herself by several other charitable institutions. She died in 1689; and lord Burleigh was greatly affected by her death, as appears by some meditations which he wrote on the occasion.",,Great Britain,male,case2,D,d.,d.,1598.0,,,,,,,1553.0,1598.0,,Burleigh,Statesmen and Warriors,22.0,127.0,149,53.0,"https://en.wikipedia.org/wiki/William_Cecil,_1st_Baron_Burghley"
Burnet,461.0,Burnet (Thomas),Watkins,"A learned divine, was born at Croft, in Yorkshire, in 1635, and educated at Clar-hall, Cambridge, from whence he removed to Christ's college, where he was chosen fellow, and took hit degree of M.A. in 1658. On leaving the university he became travelling tutor to the earl of Wiltshire, son of the marquis of Winchester; and he discharged the same office to the earl of Ossory, son of the duke of Ormond. In 1680 appeared his Telluris sacra Theoria, a work which gained him high reputation on account of its elegance, though its philosophical principles were confuted by Dr. Keill and others. It was afterwards translated into English, and published in folio and octavo. It may justly be pronounced a beautiful philosophical rhapsody. In 1685 he was appointed master of the Charter-house; in which situation he opposed the attempt of James II. to place a papist on the foundation of that house. At the revolution he was made chaplain to the king, and clerk of the closet, but lost the place for some free opinions expressed in his Archaeologia Philosophica. He died in 1715. After his death appeared two works of his, 1. De Fide et officiis Christianorum; 2. De Statu Mortuorum et Resurgentium. Both these have been published in English. In the latter he holds the millenary notion, and denies the eternity of future punishment.",,Great Britain,male,case1,C,d. (LL),d.,1715.0,,,,,,72.0,1643.0,1715.0,H,Burnet,Historians and Antiquaries Lawyers,14.0,0.0,14,53.0,https://en.wikipedia.org/wiki/Thomas_Burnet
Burrhus,462.0,Burrhus (Afranius),Watkins,"An eminent Roman, who commanded the praetorian cohorts under Claudius and Nero; to the latter of whom he was tutor in conjunction with Seneca. He endeavoured, but in vain, to cheek the vicious and cruel propensities of his pupil, and died regretted by all good men, A. D. 62, not without suspicion of poison.",,France,male,case2,D,d.,d.,62.0,,,,,,,17.0,62.0,,Burrhus,Statesmen and Warriors,5.0,127.0,132,53.0,https://en.wikipedia.org/wiki/Sextus_Afranius_Burrus
Busbequius,463.0,"Busbec, in Latin Busbequius (Auger-Gislen)",Watkins,"A learned writer, was born at Clomines in 1522. He was the natural son of the lord of Busbec, and was employed in several embassies, particularly to Constantinople. He was a liberal patron of men of letters, and died in 1533. He made large collections of inscriptions in the Levant, which he communicated to Scaliger, Lipsius, and Gruter. The account of his Travels is an excellent work; it was printed by Elzevir, in Latin, at Leyden in 1633, and has been translated into French.",Moreri,France,male,case1,C,d. (LL),d.,1592.0,,,,,,70.0,1522.0,1592.0,H,Busbequius,Historians and Antiquaries Lawyers,21.0,0.0,21,53.0,https://en.wikipedia.org/wiki/Ogier_Ghiselin_de_Busbecq
Buteo,464.0,,,,,France,male,case3,A,fl.,,,,,fl.,1559.0,,,1529.0,1574.0,M,Buteo,Mathematicians &cc Physicians,14.0,69.0,83,53.0,https://de.wikipedia.org/wiki/Johannes_Buteo
Butler,466.0,Butler (Joseph),Watkins,"A learned prelate, was born at Wantage in Berkshire in 1692. His father, who was a dissenter, intended him for the ministry amongst those of the same persuasion and placed him under the learned Mr. Jones, who kept an academy at Tewksbury in Gloucestershire. While there he wrote a letter to Dr. Clarke containing remarks on, some of his arguments in his Treatise on the Being and Attributes of God, with which that great man was so pleased that he inserted them in his next edition. During his residence at Tewksbury he studied the subject of nonconformity, the result of which was, a determination to enter into the communion of the established church. Accordingly in 1714 he went to Oxford, and became a commoner of Oriel college, where he formed an intimacy with Mr. Talbot, son of the bishop of Durham; by whose interest he was appointed preacher at the Rolls, and successively rector of Houghton and Stanhope in the county of Durham. In 1736 he was made clerk of the closet to queen Caroline, who delighted much in his conversation. Two years afterwards he was preferred to the bishopric of Bristol, and in a short time made dean of St. Paul's, on which he resigned the rectory of Stanhope. In 1740 he was appointed clerk of the closet to the king, and in 1770 translated to the see of Durham. He died at Bath in 1752, and his remains were interred in Bristol cathedral. He published a volume of Sermons; and a valuable work, entitled, The Analogy of Religion, natural and revealed, to the Constitution and Course of Nature, 1736, 8vo. He also printed a charge on External Religion, which was the subject of much animadversion, and brought upon him the absurd imputation of being inclined to popery. Archbishop Seeker published a refutation of this slander.",,Great Britain,male,case1,C,d. (LL),d.,1752.0,,,,,,60.0,1692.0,1752.0,D,Butler,Divines and Metaphysicians &cc,12.0,99.0,111,53.0,https://en.wikipedia.org/wiki/Samuel_Butler_(poet)
Butler,465.0,Butler (Samuel),Watkins,"an English poet, was the son of a farmer at Strensham in Worcestershire, where he was born in 1600, or according to others in 1612. He received his education at Worcester school, from whence he removed to Cambridge, where he resided six or seven years, after which he became clerk to a justice of peace in his native county. He next went to live in the family of the countess of Kent, and was employed as amanuensis by the learned Selden. After this he resided with sir Samuel Luke in Bedfordshire, a gentleman very zealous in behalf of the covenant and puritanic principles. Here Butler became acquainted with the characters of the leading men of that party, and formed the plan of his poem, entituled Hudibras, the principal person of which was, unquestionably, sir Samuel. The idea of this exquisite piece, which gives so faithful a picture of the cant and hypocrisy of his times, was taken generally from Don Quixote; but the humour and the poetry are wholly Butler's, and in these he stands unrivalled. Some have objected to the jingling double rhymes in it, but these appear rather to add to the drollery of the exhibition, and to excite that ridicule which the author intended at the expence of the gloomy fanatics of his day. The learning and extensive reading of Butler are shewn to great advantage in this performance, a curious edition of, which was published by Dr. Zachary Grey, in 2 vols. 8vo. After the restoration Butler became secretary to the earl of Carberry, who appointed him steward of the court held at Ludlow castle. About this time also he married Mrs. Herbert, a lady of family and fortune. Much has been said about Butler's poverty, but either this is not well founded, or he must have been extravagant, for his employments and his marriage ought to have placed him above indigence. He died in London in 1680, and was buried in the church of St. Paul's, Covent-garden. In 1721 alderman Barber, the printer, erected a monument to his memory in Westminsterabbey. After his death were published his posthumous works, and in 1753 Mr. Thyer of Manchester published his genuine remains, in 2 vols. 8vo.",,Great Britain,male,case1,C,d. (LL),d.,1680.0,,,,,,68.0,1612.0,1680.0,P,Butler,Artists Poets,7.0,43.0,50,53.0,https://en.wikipedia.org/wiki/Samuel_Butler_(poet)
Buxtorf Senior,467.0,Buxtorf (John),Watkins,"A learned Hebron, was born in 1654 at Camen in Westphalia. He became professor of Chaldee and Hebrew at Basil, where he died in 1629. His works which are of great value to students are a Lexicon Chaldaicum, Thalnuidicum, et Rabbinicum, folio; a small Hebrew and ChaldaicLexicon, 12mo; Thesaurus Linguae Hebraicae, 2 vols 8vo; a Hebrew Bible in great esteem; another with a rabbinical conunentary, 4 vols. folio; Synngoge Judaica, a curious book in the religious ceremonies of the Jews; Institutio Epistolaris Hebraica, &c.",Moreri,Germany,male,case1,C,d. (LL),d.,1629.0,,,,,,65.0,1564.0,1629.0,,Buxtorf Sen.,Orators and Critics &cc,18.0,22.0,40,53.0,https://en.wikipedia.org/wiki/Joseph_Butler
Buzur Giumhur,468.0,,,,,,male,case3,A,fl.,,,,,fl.,580.0,,,550.0,595.0,M,Buz Giumhur,Mathematicians &cc Physicians,20.0,69.0,89,39.0,https://en.wikipedia.org/wiki/Bozorgmehr
"Cabot, Sebastian",469.0,Cabot (Sebastian),Watkins,"A celebrated navigator, was born at Bristol in 1477, and before he was 20 he made several voyages with his father, who was an excellent mariner and mathematician. They discovered part of Newfoundland in one of their voyages for a north-west passage; but Sebastian, after the death of his father, completed that discovery; and also of the continent of America, long before Columbus or Vesputius. In the early part of Henry the Eighth's reign he sailed again with a design of proceeding to the East Indies, but owing to some disappointment he went no farther than the Brasils, from when he shaped his course for Hispaniola and Porto Rico, and returned. Soon afterwards we find him in the Spanish service, but after one voyage to America he returned to England, and settled in his native city. Edward VI. delighted in his conversation, and allowed him a pension. A new company, called merchant adventurers, was erected, and Sebastian was placed at the head of it. By his means a voyage was made to the north in 1552, and a trade commenced with Russia, which gave rise to the Russian company. He died about 1557, aged 80. In Hackluyt's Collection are his instructions for the direction of a voyage to Cathay. He was the first who noticed the variation of the compass, and wrote Navigatione nelle Parte Settentrionale, Venice, 1583, folio.",,Italy,male,case4,K,d. (LL) above,d.,1557.0,,,,,Above,70.0,1487.0,1557.0,,S. Cabot,Statesmen and Warriors,21.0,127.0,148,53.0,https://en.wikipedia.org/wiki/Sebastian_Cabot_(explorer)
Cadmus,470.0,Cadmus,Watkins,"The founder of Thebes, one of those characters whose real history is blended with too much fable to be relied on. It seems certain that he was either a native of Egypt or Phoenicia; and that he was the first who introduced letters into Greece. The alphabet consisted at first of only sixteen letters. He flourished according to the Arundelian marbles B.C. 1519.",Moreri,,male,case3,A,fl.,,,,,fl.,-1045.0,,,-1075.0,-1030.0,,Cadmus,Statesmen and Warriors,20.0,127.0,147,53.0,https://en.wikipedia.org/wiki/Cadmus
"Cadmus, Milesius",471.0,Cadmus,Watkins,"The Milesian, was the first Grecian who wrote history in prose. He composed the history of Ionia, which is lost. Another Cadmus wrote the History of Athens mentioned by Suidas.",Vossius de Hist. Graec.,Turky in Asia,male,case3,A,fl.,,,,,fl.,-550.0,,,-580.0,-535.0,H,Cadmus Mil:,Historians and Antiquaries Lawyers,17.0,0.0,17,53.0,https://en.wikipedia.org/wiki/Cadmus_of_Miletus
Caecilius,472.0,Caecilius (Statius),Watkins,"A comic poet, who was cotemporary with Ennius. A fragment by him is in the Corpus Poetarum of Maittaire.",,Italy,male,case8,F,d. af.,d. af.,-166.0,,,,,,,-211.0,-165.0,P,Caecilius,Artists Poets,6.0,43.0,49,53.0,https://en.wikipedia.org/wiki/Caecilius_Statius
Caerleon Ludovicus,473.0,,,,,,male,case3,A,fl.,,,,,fl.,1360.0,,,1330.0,1375.0,M,L. Caerleon,Mathematicians &cc Physicians,27.0,69.0,96,53.0,https://en.wikipedia.org/wiki/Lewis_de_Charleton
"Caesalpinus, Andreas",474.0,"Cesalpini, Andrew",Crabb,"A botanist and physician of Arezzo, was born in 1519, and died in 1603. He published 'Libri XVI de Plantis X', 4to Florent. 1583, to which was published an Appendix, 4to Rom. 1603; besides some medical works, which were esteemed in his day.",,Italy,male,case1,C,d. (LL),d.,1613.0,,,,,,44.0,1569.0,1613.0,Ph,Caesalpinus,Mathematicians &cc Physicians,5.0,69.0,74,53.0,https://en.wikipedia.org/wiki/Andrea_Cesalpino
Caesar Julius,475.0,Caesar (Caius Julius),Watkins,"Was descended from the Julian family, and lost his father when young. He married the daughter of Cornelias Cinna, and was designed for the office of high priest to Jupiter, but was deprived of it by Sylla, who was Cinna's inveterate enemy. Sylla carried his revenge so far as to confiscate the property of Caesar, and even issued a proscription against him. By the mediation of several of the patricians, this decree was reversed: but Caesar, not thinking Rome a safe place, went to reside with Nicomedes, king of Bithynia. He obtained a civic crown for his conduct at the taking of Mitylene. On the death of Sylia he was recalled to Rome, and distinguished himself as an orator, by impeaching Dolabella for mal-administration in Greece. He studied rhetoric at Rhodes under Apollonius, and in his passage was taken by pirates, from whom he gained his liberty by paying a considerable ransom. He afterwards fitted out some ships, and having taken those plunderers caused them to be crucified. On his return to Rome he joined the party of Marius, and united with Cicero in promoting the Manilian law, which gained him the friendship of Pompey. The first dignity he obtained was that of military tribune, after which he served the offices of quaestor and aedile. In the latter station he gained popularity by his liberal donations, which greatly embarrassed his circumstances. He was suspected of being concerned in Cataline's conspiracy, owing perhaps to his recommending clemency to the culprits, in an oration which was severely answered by Cato. This conduct greatly lessened his reputation. On the death of his wife Cornelia he married Pompeia, from whom he procured a divorce for receiving Clodius into her house at the time of celebrating the rites of the bona Dea. He did not, however, persecute Clodius, and when asked why he had dismissed Pompeia, his answer was, that ""Caesar's wife should not even be suspected."" On the expiration of his praetorship he was appointed governor of the farther Spain: but finding it difficult to settle with his creditors, Crassus became his bondsman. On his way thither, passing through a miserable village on the Alps, his friends asking him whether he thought there were any contentions for offices in such a place? ""No"" replied he, ""but I would rather be the first man here than the second at Rome."" During his governorship he realized sufficient property to pay his debts, which are said to have amounted to a million and a half sterling. He next gained the consulship in conjunction with Bibulus, B.C. 59. At this time he formed the first triumvirate with Pompey and Crassus, the former of whom married his daughter Julia, and he himself married Calpurnia, daughter of L. Calpurnius Piso. In the following year he went into Gaul, where he distinguished himself as a military commander, in reducing the Belgians, Helvetians, and Nervians. In the fourth year of his government he crossed over to Britain, but did little more than reconnoitre the coast; on his next expedition he entered the Thames, and ravaged a great part of the country, taking several of the inhabitants as hostages. Having completely reduced Gaul to the condition of a Roman province, and acquired prodigious wealth, Pompey grew jealous of him, and the senate deprived him of his government. This being considered by him as a declaration of war, he crossed the Rubicon, a small river which parted Cisalpine Gaul from Italy, with a determination of revenging himself upon his enemies. His army was zealously attached to him, and success attended him every where on his march. Rome was filled with fear and confusion; and Pompey, with the magistrates, withdrew on his approach. Caesar entered the metropolis without his troops in an affected style of moderation. However, he seized upon the public treasury, which enabled him to complete the subjugation of the people. The civil war now raged with fury throughout the empire; but Caesar, by himself or his lieutenants, was every where triumphant, except in his blockade of Dyrrachium, where Pompey was encamped, who burst through the barrier after slaying considerable part of Caesar's forces. Caesar then retired to Macedonia, whither he was followed by Pompey, who was defeated on the plains of Pharsalia. Caesar next embarked for Alexandria, where the head of Pompey being brought to him, he burst into tears, and caused it to he solemnly interred. Here he entered into a war with Ptolemy, in which the famous Alexandrian library, containing 400,000 volumes, was accidentally burnt. This war was attended with various success, but Caesar's good fortune prevailed; the Egyptians were defeated, and Ptolemy was drowned. On the news of the death of Pompey the Roman senate proclaimed Caesar consul for five years, and created him dictator, thus placing the executive power in his hands. He next conquered Pharnaces, the son of Mithridates the great, in Asia Minor, on which occasion he wrote this laconic letter, ""Veni, Vidi, Vici; ""I came, I saw, I conquered."" After settling the affairs of Greece he proceeded to Rome, where he shewed his clemency, by pardoning all who had conspired against him in his absence. He next made an expedition into Africa, in the course of which he displayed great address and prudence in quelling a mutiny which broke out in his favourite legion. In this war he defeated Scipio, Labienus, and Juba; and drove Cato to the necessity of putting himself to death at Utica. At his return to Rome he behaved with great liberality to the people, and enacted several good laws. Among other reforms which he introduced, was that of the calendar, which bears the name of the Julian calendar. The two sons of Pompey having excited a revolt in Spain, Caesar marched thither, and after a bloody battle, succeeded in completing the subjugation of that country. His return to Rome was crowned with a triumph and the assumption of the imperial dignity, which roused the jealousy of several of his friends, who joined with the republicans in a conspiracy against his life. It is recorded of him, that a soothsayer bade him beware of the ides of March, and that his wife Calpurnia was so apprehensive that danger awaited him, as to dissuade him from going to meet the senate. The remonstrances, however, of Decimus Brutus, one of the conspirators, overruled his reluctance, and Caesar went to the senatehouse, where he was assassinated, B.C. 43, and in the 56th year of his age. Thus fell Julius Caesar, who on all accounts may justly be called a great man; for though he aspired to and obtained the supreme power, yet it does not appear that he abused it by any acts of tyranny or cruelty. His ambition was inordinate, but he was liberal and humane. His talents were of the first rank; and he might have shone as an orator if he had devoted himself to that profession's Cicero himself acknowledges. His literary powers appear to great advantage in his commentaries written in the true spirit of historical dignity and faithfulness. The best editions are those of Elzevir, 1661; Graevius, 1697; Clarke, London, 1712; Davis, Cambridge, 1727; and Barbou, Paris, 1755. This work has been translated into English by Bladen. Some of his epistles are extant among Cicero's.",,Italy,male,case1,C,d. (LL),d.,-44.0,,,,,,56.0,-100.0,-44.0,,J. Caesar,Statesmen and Warriors,10.0,127.0,137,53.0,https://en.wikipedia.org/wiki/Julius_Caesar
